file	line	context
002.第一章——悯忠寺.txt	19	寺里面，盖了一座大楼，叫悯忠阁，立了许多许多有名的和无名的纪念牌位，阁盖得极高，高得后来有一句谚语：“悯忠高阁，去天一握。”表示它离天那么近。
002.第一章——悯忠寺.txt	39	悯忠寺，就带着这样悲怆的身世，从历史走了下来。在十四世纪，当悯忠阁还没倒塌的时候，一个生在元朝的第一个皇帝时候、死在元朝最后一个皇帝时候的老人张翥，曾为它留下一首哀婉的律诗，那是：
003.第二章——寂寞余花.txt	5	铜骡子以外，就是月下老人庙，庙中有一副写得极好的对联，上联“愿天下有情人，都成眷属”，下联“是前生注定事，莫错因缘”。上下联分别来自《西厢记》和《琵琶记》，妙手天成，使这座小庙大生光彩。来烧香的都是老太太带大姑娘，有的大姑娘知道了是什么神，不好意思，不肯磕头，老太太逼她磕，她气得扭扭走了；有的不知道什么神，糊里糊涂也就磕了，一天下来，香灰满地，到处成堆。
003.第二章——寂寞余花.txt	11	法源寺的大雄宝殿并不高，走上八级台阶，就是宝殿正门。正门看上去四扇，只是中间两扇能开。正门左右有对联，上面有三扇横窗，横窗上就是“大雄宝殿”横匾。台阶旁边立着旧碑，因为是千年古刹，寺里的这类古迹也很多。有的旧碑下面塑着大龟，这个乌龟台石叫“龟趺”，唐朝以来就流行了。乌龟头略向上抬着，好像背负着历史，不胜负荷。
003.第二章——寂寞余花.txt	49	“我所了解的善，跟法师不一样。谈到一个人的善，要追问到他本来的心迹，要看他心迹是不是为善。存心善，才算善，哪怕是转出恶果，仍旧无损于他的善行；相反的，存心恶，便算恶，尽管转出善果，仍旧不能不说是伪善；进一步说，不但存心恶如此，就便是存心不恶，但并没存心为善，转出善果，也不能说是善行；更进一步说，存心不善不恶，但若有心为善，转出的善果，也是不值得称道的，这就是俗话所说的‘有心为善，虽善不赏；无心为恶，虽恶不罚’。上面所说，重点是根本这个人要存心善，善是自然而然自内发出，而不是有心为善，有心为善是有目的的，跟善的本质有冲突，善的本质是没有别的目的的，善本身就是目的。至于无心为善，更不足道，只是碰巧有了善果而已，但比起存心为恶却反转出善果来的，当然也高明很多。天下最荒谬的事莫过于存心为恶，反而转出善果，这个作恶的人，反倒因此受人崇拜歌颂，这太不公道了！所以，唐太宗所作所为，是一种伪善。”
003.第二章——寂寞余花.txt	71	“法师这样注意行、注意做、注意以实践检验真理，这种思想，跟孟子以至王阳明的，完全不一样。”
003.第二章——寂寞余花.txt	73	“是不一样。孟子认为发善情就是善，所谓‘乃若其情，则可以谓善矣’；王阳明认为在内心就是善，所谓‘至善只是此心纯乎天理之极便是’，这些抽象的检定善的标准，我是不承认的。善必须要行，藏在心里是不行的。”
003.第二章——寂寞余花.txt	91	青年人的笑容转成了窘态。他听了太多次的挖苦他们口音的谚语——“天不怕，地不怕，就怕老广讲官话”。何况他到北京来，一比之下，官话更是不行。
003.第二章——寂寞余花.txt	227	“康有为。《书经》里‘康济小民’的康；《礼记》里‘养其身以为有为也’的有为。”
003.第二章——寂寞余花.txt	229	和尚点着头：“真是志士豪杰的名字。《孟子》里说：‘人有不为也，而后可以有为。’康先生有所不为，而后成为康有为，我要向您道贺，这年头，有所不为的人太少了。”
003.第二章——寂寞余花.txt	233	“不同康先生客气，的确不容易，不晓得以后要给庙上惹来多少不方便。我这样做，庙里有些人就不赞成。在乱世里，只是消极的做点不同流合污的事，就大不易。至于积极有为一番，就更别提了。何况，站在佛门的立场，有为是无常，所谓‘一切有为法，如梦幻泡影，如露亦如电’，更显得无可为了。”
003.第二章——寂寞余花.txt	235	“法师引的是《金刚经》？”
003.第二章——寂寞余花.txt	237	“康先生对佛典竟也如此精通，令人佩服。康先生在哪里学来这么多大学问？在京师吗？还是在家乡？康先生的老师是哪一位？”
003.第二章——寂寞余花.txt	251	“他死那年我二十四岁，经史子集倒念了不少，我走的路，也是中国一般知识分子走的老路，就是念古书、应科举。可是九江先生的身教，却给我极大的影响，尤其他死前用火一本一本烧掉他一生的心血，左一本国朝学案、右一本国朝名臣言行录；左一本蒙古记、右一本诗文集……烧得满地都是灰，看得我眼泪都流下来了，劝也劝不住。九江先生立身极为严肃，他临死以前烧他一生著作，态度平静而坚决，他古书念得那么好，科举也考到进士，可是临死前，却用行动表示了这些都不是中国知识分子真正的路，人该尽弃俗学，以行动救世。他这些意思，并没空口要我们学生如何如何，相反的，他说得很少。只在最后临死前来了这段不言之教，等于现身说法。他虽在死前三十多年就离开科举与官场，可是下半生三十年的讲学著书生涯，他竟也在死前加以否定，认为不切实际。他这一烧一死，使我根本上受了大刺激。九江先生死后，我到北京来，开开眼界，也深刻想了想中国的前途，最使我印象深刻的是逛国子监，这是中国养成知识分子的最高学府，我走进大门、走进琉璃坊，看看钟亭鼓亭，又看到蒋衡写的那些石碑，想到他花了十二年的时间，写这八十多万字的十三经石碑，第一流聪明才智消耗在这里，现在对中国有什么用处？中国要救的时候到了，可是这些十三经...
003.第二章——寂寞余花.txt	253	“哪里哪里，我们出家人，不足以语此。康先生是九江先生大学问家高足，又学贯中西，我们做和尚的，只随便看几本书，哪能受得住你们行家过奖。并且康先生以天下为己任，康济小民，可以有为，更不是我们出家人所能望康先生项背的。”
003.第二章——寂寞余花.txt	275	“那我就去准备。”普净转身要走，和尚叫住他，“来，普净，我特别为你介绍一下：这位是康先生，是师父所佩服的大学问家，跟师父也是同乡。不过康先生才是真正的广东人，师父这种广东人，已经落伍了。”
003.第二章——寂寞余花.txt	299	“法师慈悲为怀，所以难免开脱了许多当政的人的责任。我在南海西樵山研究经世致用之学，对中国灾荒问题，也小有研究，俗话说‘天灾人祸’，这四个字相连，的确有道理。天灾的发生，我们以为是天祸，其实里面有人祸。就以水灾而论，水灾发生，是过多的河水无法宣泄，无法宣泄的原因，是许多供大河宣泄的小渠，因为官商勾结被霸占。小渠附近土地肥、灌溉方便，所以官商勾结，把小渠堵住，他们不但不肯掘开渠口，反而把附近加高，这么一来，不该成低地的地方——就是老百姓的地方——反倒变成了低地，水一涨，就成了水灾。所以这种水灾，是人为的，不能赖在天上。这样赖，老天爷也不服气。”
003.第二章——寂寞余花.txt	303	“我还不是一样。我若不发愤搞经世致用之学，光念四书、五经，也只会念《书经》的‘洪水滔天，浩浩怀山襄陵’，或《孟子》的‘洪水横流，泛滥于天下’，也只会徒发感慨，只会怨天，不会尤人。但自从我走经世致用的路以后，我看古书，突然眼睛开了，慢慢发掘了真相。我看《宋史》食货志，看到有‘盗湖为田’的记载，说湖的附近被盗为田以后，‘两州之民，岁被水旱之灾，’结果‘所失民田，动以万计’。我才知道水灾旱灾的人为原因是什么。这时候，我看了邵伯温的《闻见前录》上说的伊水洛水水涨，‘居民庐舍皆坏，惟伊水东渠有积薪塞水口，故水不入丞相府第，’才恍然大悟是怎么一回事。”
003.第二章——寂寞余花.txt	311	“我想来想去，无可奈何之余，发现只有一条路，就是上万言书，直接给皇上，如能说动皇上，根本上来一番大变法，国家才有救，一切问题才得根本解决。”“历史上上万言书变法成功的，又有几人？我知道的只有宋朝的王安石，最后还是失败了。守旧的势力和小人的势力，是中国政治上的两大特色，越不过这两关，就要准备悲剧的收场。”
004.第三章——“休怀粉身念”.txt	23	是谢枋得的绝命诗。把这位不食而死的烈士的遗诗，这样挂在食堂里，倒是一种含意深远的对比。
004.第三章——“休怀粉身念”.txt	27	“刚才有言在先，不为康先生特别准备，我们吃什么，康先生就吃什么，请用饭吧。在世俗标准，绝不好意思拿这样菲薄的菜请客，但康先生不同，所以我也不觉得失礼。”
004.第三章——“休怀粉身念”.txt	33	康有为看都没再看一眼，随便答道：“字是写得不错，写了一手好赵字，只可惜用赵孟頫的字体，写谢枋得的绝命诗，未免太不相称了。”
004.第三章——“休怀粉身念”.txt	37	“他们是同时候的人哪！赵孟頫投降了元朝，谢枋得跟元朝不合作，谢枋得死而有知，发现他的绝命诗竟是赵体字，不是太可笑了吗？”
004.第三章——“休怀粉身念”.txt	51	“奸不奸的问题要看用哪一种标准，如果用的是汉满蒙藏等各族都是中国人的标准，对中国人自己的种族来说，并无所谓奸。并且，忠奸问题也并不像表面上那么简单、那么黑白立刻分明。在一个人阅历较多一点以后，他有时难免会发现，人间许多对立的问题，如是非、正邪、善恶、好坏等等，并不都是很草率就能断定的。同时对立的情况，往往并不如想像中那样明显，对立的双方，可能有混同的成分、相似的成分，甚至还有完全相反的尴尬场面发生。中国正史中，从宋朝欧阳修主编的《新唐书》开始，有所谓‘奸臣’传，后来的正史，像《宋史》、《辽史》、《元史》、《明史》，纷纷援例，于是忠奸之分，在历史上和观念上，也就愈发显明。正史以外，中国的小说戏剧，对忠奸的判决，影响极大。尤其在戏剧里，为了帮助观众有‘忠奸立判’的效果，‘红脸’和‘粉白脸’，也就应运而生。忠肝义胆的自然是勾红脸，如关公；权奸误国的自然是勾粉白脸，如曹操，这种分法俐落，固然给了观众不少方便，于施展爱憎之间，少掉了不少麻烦。但是一旦分错了，就对不起人了。试看《宋史》‘奸臣’传中被戴上奸臣帽子的，有的根本不算奸臣，像赵嗣！而该戴奸臣帽子的，像史弥远，却又逍遥于‘奸臣’传之外！由此可见，忠奸问题，并不像书上和民间传说上所...
004.第三章——“休怀粉身念”.txt	81	“时间多少是无法硬定的，不过，有在同一时间里就出现‘谁都是忠’的肯定现象。忠奸问题一直是困扰中国人的一个老问题。但是，真正会读古书的人，必然发现：中国传统中‘忠’的观念，其实有两个不同的方向：就是‘相对的忠’与‘绝对的忠’。伟大的晏子，在齐庄公被杀时候，不肯死难。他的理由很光明，他说：‘君为社稷死，（我）则死之；为社稷亡，（我）则亡之。若（君）为己死（为）己亡，非其私昵，谁敢任之！，齐庄公既然是因为偷别人老婆而被本夫所杀，显然不是‘为社稷死’、‘为社稷亡’，对这种无道之君，国之大臣，是不会为他死难的，但他的‘私昵’，却可以为他死难。所谓‘私昵’，不是别的，就是统治者的家臣和走狗。中国‘忠’的观念，起源是很好玩的，在古文字中，根本没有‘忠’这个字，‘忠’字出现在春秋时期，但那时候的‘忠’，是‘委质为臣’式的‘忠’，‘质’是雉、是野鸡，野鸡在古人眼中，是一种‘守介而死，不失其节’的象征，‘委质’就是表示对个人的效忠；‘臣’的原始意义是俘虏或奴隶，‘委质为臣’就是‘私昵’者对主子的效忠。这种‘忠’，是无条件的，是‘绝对的忠’。相对的，晏子所主张的‘忠’却是有条件的、是以统治者‘忠于民’做相对条件的、以大臣‘以道事君’做相对条件的，...
004.第三章——“休怀粉身念”.txt	111	“有没有这种人，照佛法说来，是一种因缘。因是‘先无其事而从彼生’、缘是‘素有其分而从彼起’，只要有够成因缘的条件，我想，康先生不但可以碰到这样代递万言书的人，和他有缘；并且说不定还和当今皇上有缘，而可以像王安石那样的得君行道。”
004.第三章——“休怀粉身念”.txt	177	“袁督师死在崇祯三年，十四年后，明朝亡了，满洲人进了关，对这位所谓勾结他们的袁督师，采取什么态度？”
004.第三章——“休怀粉身念”.txt	179	“清朝明明知道这是冤狱，这是他们反间计的成功，但不太说得出口，因为一来用这反间计太卑鄙了，二来为袁督师昭雪即等于宣传他是抵抗满洲的英雄，对入关的满洲人，当然不妥，所以袁督师的殉国真相，一直讳莫如深。袁督师生前有两句诗：‘功高明主眷，心苦后人知，’功是高了，可是皇帝一点也不明，反而把他当卖国贼给杀了；心是苦了，可是后人又知道多少呢？两百五十年了，一位为国冤死的英雄还不能被公开昭雪，公道何在啊？”
004.第三章——“休怀粉身念”.txt	183	“个人只有和群体的大多数一起浮沉，才能免于被残忍对待，个人太优秀了、太特立独行了，就容易遭到群体的迫害，群体是最残忍的，个人比较好，群体比个人不是更好就是更坏，群体比个人极端得多。所以，优秀的个人如果优秀得过分，就得准备付出惨痛的代价给群体，作为‘冒犯费’。所以，许多优秀的个人为群体做事，必须事先就得抱有最后还得被群体出卖的危险。我想，当年的袁督师一定多少有这种认识，他的前任熊廷弼刚被冤枉杀掉，他怎能不知道？知道还来跳火坑，自然就表示他已有为群体而牺牲个人的准备。话说到这里，我想到你康先生，你想救中国吗？你想走这条路，你就不得不先做一番准备，群体是健忘的、是非不定的、忘恩负义的、残忍的。愈是伟大的民族，愈有这些特色。所以，有一天，当你遭受了这种待遇，你可能变得爱中国，但却不爱中国人。那时候，请你记得我的话，群体就是这样的，你不要奢求，你求仁得仁就好了，一笑而死吧。群体会歌颂你，那也在二百五十年以后，像我们歌颂袁督师一样，谈起我们这位广东老乡袁崇焕，想起他、怀念他、到他坟上凭吊凭吊他，这就是公道自在人心了。”
004.第三章——“休怀粉身念”.txt	197	客房很小，简单的摆设，朝南是一面窗，窗台下摆着长太师椅，太师椅两边夹着茶几。茶几两边转成直角，各有太师椅一张，分别东向西向。北面墙上有书橱，橱上全是佛经。橱中间伸出一张方桌，上面有文具，两边有椅子，看来好像是客房兼做书房。后面墙上最招眼的是一卷条幅，写着魏之璓游悯忠寺诗：
