file	line	matched_quote	previous_id	previous_book	previous_source	context
001.对自然要自然.txt	7	逝者如斯	LAYTAS-007	李敖议坛哀思录	005.为何起了怪书名？.txt:3-3	自然对人的意义，应该只有两点：第一点，自然本身是变化无穷的壮观，不论是朝晖夕阴，不论是暴雨明霞，不论是飞絮满天或落叶满地……种种奇景，都值得人在恬静中或快乐中赏心悦目。第二点，自然应带给人对宇宙的远大看法，物换星移，时序代谢……都是使人了解宇宙真相的凭借。西方的诗人从一粒沙中看世界，从一朵花中看天国；东方的诗人从长江中看逝者如斯，从明月中看盈虚者如彼……这种种观察都可在赏心悦目以外，别有妙悟：人与自然本是一体。《圣经》上说：“你是从土而出的，你本是尘土，仍要归于尘土。”但说这话的先知并不了解这一现象的科学原理。现在我们知道了“氮化循环”（nitrogen cycle）等化学现象，知道了万物都要复归原始，人生只是过眼云烟，“自己乃是不断的在死亡中”。有了这种达观的心胸，再回过头来看人世，人才会觉悟到这辈子该怎么活才不虚此生，才会觉悟到此生已为错误的安排浪费许多，实在不应该再浪费下去。这时候人会活得更积极起劲，肯定适合自己的，摆脱不适合自己的，使自己的生命愈来愈发光，而不是愈来愈黯淡。这种炉火纯青的人生看法与做法，人都可以从孤独地面对自然中学到。诗人华兹华斯（Wordsworth）说“让自然做你的老师”（Let nature b...
010.“三毛式伪善”和“金庸式伪善”.txt	7	舍近而求远、去亲而就疏	LAMR-084	李敖回忆录	020.前程（1997-·62岁以后）.txt:19-19	比起琼瑶来，三毛其实是琼瑶的一个变种。琼瑶的主题是花草月亮淡淡的哀愁，三毛则是花草月亮淡淡的哀愁之外，又加上一大把黄沙。而三毛的毛病，就出在这大把黄沙上。三毛的黄沙里有所谓“燃烧是我不灭的爱”，她跟我说：她去非洲沙漠，是要帮助那些黄沙中的黑人，他们需要她的帮助。她是基督徒，她佩服去非洲的史怀哲，所以，她也去非洲了。我说：“你说你帮助黄沙中的黑人，你为什么不帮助黑暗中的黄人？你自己的同胞更需要你的帮助啊！舍近而求远，去亲而就疏，这可有点不对劲吧？并且，史怀哲不会又帮助黑人，又在加那利群岛留下别墅和‘外汇存底’吧？你怎么解释你的财产呢？”
010.“三毛式伪善”和“金庸式伪善”.txt	11	舍离一切，而无染着	LAMR-085	李敖回忆录	020.前程（1997-·62岁以后）.txt:19-19	“三毛式伪善”，比起另一种伪善来，还算是小焉者也。另一种伪善是金庸式的。金庸为国民党捧场，跑到台湾来。有一天晚上到我家，一谈八小时。我责备他不该参加什么“国建会”，自失他过去的立场。他说他参加，也说了不少批评的话。我说这是不够的、得不偿失的、小骂大帮忙的，你参加这种会，真教人失望。接着谈到他写的武侠，我说胡适之说武侠小说“下流”，我有同感。我是不看武侠的，以我所受的理智训练、认知训练、文学训练、史学训练，我是无法接受这种荒谬的内容的，虽然我知道你在这方面有着空前的大成绩，并且发了大财。金庸的风度极好，他对我的话，不以为忤（虽然他此后在他的报上不断诽谤我了）。他很谦虚的解释他的观点。他特别提到他儿子死后，他精研佛学，他已是很虔诚的佛教徒了。我说：“佛经里讲‘七法财’‘七圣财’‘七德财’，虽然《报恩经》《未曾有因缘经》《宝积经》《长阿含经》《中阿含经》等等所说的有点出入，但大体上，无不以舍弃财产为要件。所谓‘舍离一切，而无染着’，所谓‘随求给施，无所吝惜’。你有这么多的财产在身边，你说你是虔诚的佛教徒，你怎么解释你的财产呢？”
010.“三毛式伪善”和“金庸式伪善”.txt	11	随求给施，无所吝惜	LAMR-086	李敖回忆录	020.前程（1997-·62岁以后）.txt:19-19	“三毛式伪善”，比起另一种伪善来，还算是小焉者也。另一种伪善是金庸式的。金庸为国民党捧场，跑到台湾来。有一天晚上到我家，一谈八小时。我责备他不该参加什么“国建会”，自失他过去的立场。他说他参加，也说了不少批评的话。我说这是不够的、得不偿失的、小骂大帮忙的，你参加这种会，真教人失望。接着谈到他写的武侠，我说胡适之说武侠小说“下流”，我有同感。我是不看武侠的，以我所受的理智训练、认知训练、文学训练、史学训练，我是无法接受这种荒谬的内容的，虽然我知道你在这方面有着空前的大成绩，并且发了大财。金庸的风度极好，他对我的话，不以为忤（虽然他此后在他的报上不断诽谤我了）。他很谦虚的解释他的观点。他特别提到他儿子死后，他精研佛学，他已是很虔诚的佛教徒了。我说：“佛经里讲‘七法财’‘七圣财’‘七德财’，虽然《报恩经》《未曾有因缘经》《宝积经》《长阿含经》《中阿含经》等等所说的有点出入，但大体上，无不以舍弃财产为要件。所谓‘舍离一切，而无染着’，所谓‘随求给施，无所吝惜’。你有这么多的财产在身边，你说你是虔诚的佛教徒，你怎么解释你的财产呢？”
013.人到底该怎么选择？.txt	19	患有所不辟也	LAMR-080	李敖回忆录	020.前程（1997-·62岁以后）.txt:11-11	我所面临的问题，其实是一个老问题。这个问题是：“人到底该怎么选择？”千百年前，孟轲就提出这种选择的困惑，在鱼与熊掌之间，他做了深入的讨论。他的结论是：生命虽然是我想保持的，但是如果有比生命更令我追求的，我就会舍生取义；死亡虽然是我想避免的，但是如果“所恶有甚于死者，故患有所不辟也”。“患有所不辟”不是一定要死，而是有牺牲的危险也不躲避——并不因为有牺牲、有危险，就不干了。
013.人到底该怎么选择？.txt	21	余有所疑，愿因先生决之。	LAMR-077	李敖回忆录	020.前程（1997-·62岁以后）.txt:5-5	孟轲的问题其实也是屈原的问题。屈原见太卜郑詹尹，说：“余有所疑，愿因先生决之。”他把“疑”说了一大段，重点只是两句：
013.人到底该怎么选择？.txt	31	寿星老吃砒霜——活得不耐烦了	LAMR-079	李敖回忆录	020.前程（1997-·62岁以后）.txt:11-11	我不太觉得祢衡是有意找死，或是“寿星老吃砒霜——活得不耐烦了”。他只是“宁正言不讳”而已。至于“正言不讳”以后别人杀不杀他，他无所谓。他没有兴趣去教育敌人，或揣摩敌人的水准。当然，他这种作风，“上的山多终遇虎”，最后碰到了黄祖型的敌人，他也一死了之——“患有所不辟也”！
013.人到底该怎么选择？.txt	31	患有所不辟也	LAMR-080	李敖回忆录	020.前程（1997-·62岁以后）.txt:11-11	我不太觉得祢衡是有意找死，或是“寿星老吃砒霜——活得不耐烦了”。他只是“宁正言不讳”而已。至于“正言不讳”以后别人杀不杀他，他无所谓。他没有兴趣去教育敌人，或揣摩敌人的水准。当然，他这种作风，“上的山多终遇虎”，最后碰到了黄祖型的敌人，他也一死了之——“患有所不辟也”！
013.人到底该怎么选择？.txt	31	寿星老吃砒霜——活得不耐烦了	LAFLZ-010	李敖风流自传	024.自吹自擂，不可免也.txt:3-3	我不太觉得祢衡是有意找死，或是“寿星老吃砒霜——活得不耐烦了”。他只是“宁正言不讳”而已。至于“正言不讳”以后别人杀不杀他，他无所谓。他没有兴趣去教育敌人，或揣摩敌人的水准。当然，他这种作风，“上的山多终遇虎”，最后碰到了黄祖型的敌人，他也一死了之——“患有所不辟也”！
013.人到底该怎么选择？.txt	35	患有所不辟也	LAMR-080	李敖回忆录	020.前程（1997-·62岁以后）.txt:11-11	记得我出世前四百年死的那位英国殉道者托马斯·摩尔（Sir Thomas More, 1478-1535）吗？再远一点，记得我出世前七百六十五年死的那位英国殉道者托马斯·贝克特（Thomas Becket，1117-1170）吗？他们都有着太好的“尚复何求”的条件，但是最后，最后，最后，最后还是无法弃其所守，还是都死于非命。小痴兄，这些人并不都是有意送死的人，但他们都是为了真理，“患有所不辟也”的人。结果既然命中难逃一死，最后除了一死，又“尚复何求”？——谁让他们都碰到黄祖型的统治者呢？
