file	line	text
001.《蒋介石评传》序（汪荣祖）.txt	1	《蒋介石评传》序（汪荣祖）
001.《蒋介石评传》序（汪荣祖）.txt	3	李敖和我合写《蒋介石评传》，既属偶然，又有其必然性。
001.《蒋介石评传》序（汪荣祖）.txt	5	李敖早年第一部传记作品是《胡适评传》，原计划十册，只出了一册，不是写不下去，而是不愿意再把精力花在一个人身上。我自己写完《郭嵩焘与道咸同光时代》一书稿后，也不想再写人物传记。两个人都不想，却又联手，同做冯妇，岂非偶然？
001.《蒋介石评传》序（汪荣祖）.txt	7	不过，偶然的背后有其必然，如箭在弦，不得不发。天下皆知李敖是蒋家在台湾极盛时期的“异己分子”，因而备受白色恐怖之害、牢狱之灾，自然恨蒋入骨。不过，李之恨蒋有异于蒋之恨共。蒋氏父子痛恨共产党，不仅自己忌讳不谈，而且查禁“匪书”，也不准别人看、别人想、别人谈，完全是避之若吉的态度。而李敖痛恨蒋介石则在牢底读穿《蒋总统言论全集》四十大本，密密眉批，标签犹在。出狱之后，更广事搜罗有关文献，不放过片言只语，像中国大陆出版的全国以及各省文史资料中有关蒋介石的篇章，网罗殆尽。完全是知己知彼、百战不殆的态度。
001.《蒋介石评传》序（汪荣祖）.txt	13	李敖公开宣称，这部评传由汪执笔，他自己只提供资料。这是向来不谦虚的李敖，对老友兼好友的谦虚。有心的读者不难在白纸黑字的字里行间，看到那来自白山黑水间的磅礴气势与深邃的内涵。所谓“执笔”，实系“顺稿”，因为我们两人文体有异。李敖说我“失之雅驯”，我说他“失之恣肆”，为了读者的利益，在二“失”之间，须求一“得”，如此而已。事实上，西方有声誉的出版社对于任何稿件，虽名家巨笔亦不例外，都须经过“定稿编辑”（copy editor）之一“顺”。李敖最忌别人改动他的文字，却主动要我“顺稿”，又见他对老友兼好友的特别“照顾”与“慷慨”了。
001.《蒋介石评传》序（汪荣祖）.txt	15	我们自知这部《蒋介石评传》必定有其瑕疵、有其缺点，更有挂一漏万之处，但我们自信，就历史求真而言，亦必定较所有已出版的蒋传，更上层楼，有其特色。通俗地说，蒋介石的真面目从来没有这样全面地展示过。我们称之为“评传”，不仅对传主特具批评的眼光，而且意在力求史料的完备、考证的详尽、解释的圆融以及叙事的明晰。全书共分十二章，以时间为序，每章分若干节，以专题为主。我们愿将此书献给下一世纪的中华儿女，于世代交替之后，仍能悉其人、知其事。蒋介石曾在金门太武山巨石上刻有“毋忘在莒”四个大字，其实他刻石之时，人仍在莒，不知如何忘法？今兹书出，恰逢蒋介石成“鬼”二十年，宁波话“鬼”与“莒”同音；此书之出，无乃有毋忘此“莒”之效欤！
002.《蒋介石评传》序（李敖）.txt	1	《蒋介石评传》序（李敖）
002.《蒋介石评传》序（李敖）.txt	3	1975年4月6日的清早，我在蒋介石的黑狱里朝高窗外望，看到禁子牢头——所谓“班长”们——臂戴黑纱，我心里纳闷：“不知哪个外国元首死了？”那时候我已近五年不准看报，消息闭塞，对外面发生的事，所知有限。偶然听到点新闻，也只能瞎猜，不得其详。两三个小时后，牢门打开，“放风”十分钟，我问秦姓班长：“你们戴黑纱干什么呀？”他面露悲戚，偷偷告诉我：“老总统死了。”我闻之窃喜。回到独居房后，即唱暗号歌告诉难友刘辰旦：“老王八蛋死了！”
002.《蒋介石评传》序（李敖）.txt	5	我生在1935年，今年六十岁。六十年间的一半岁月，都在蒋介石的统治之下，而这一半岁月，又正是人生中的大好岁月。不幸的是，我却被蒋介石拦住，只能落荒而走，难以大道之行。四十岁生日前夜，我在牢房里，躺在蜈蚣与白蚁出没的地板上，构思我的小说——《北京法源寺》，就想到小说中的主角康有为，正该影射我自己；而另一主角西太后，正该影射蒋介石。《北京法源寺》后来分别在台北、北京出版，其中李十力对康有为的一段话，正是借古讽今的样板：
002.《蒋介石评传》序（李敖）.txt	17	我虽然又受难又被害，但我会“自力报复”，报复的方法就是专题研究我的敌人，并且一波又一波的写出真相。十年来，我写了《蒋介石研究》《蒋介石研究续集》《蒋介石研究三集》《蒋介石研究四集》《蒋介石研究五集》《蒋介石研究六集》六本专题研究的书，编了《拆穿蒋介石》《清算蒋介石》《蒋介石张学良秘闻》《侍卫官谈蒋介石》四本专题研究的书，又策划出版了几十种批蒋的书，历来研究蒋介石的人和中外学者，在这一专题上的成绩，自然无出李敖之右者。不过，美中不足的是，尽管在专题研究上如此辉煌，但在一部好的传记来写他坏的一生上，我却始终未能着手，思念起来，不无遗憾。
