id	source_file	line_start	line_end	present	political_hits	quote_text
LAJJSY-001	《蒋介石研究》自序.txt	3	3	yes		文格渐卑庸福近
LAJJSY-002	《蒋介石研究》自序.txt	3	3	yes		文格渐尊奇祸近
LAJJSY-003	《蒋介石研究》自序.txt	5	5	yes		诛奸谀于既死，发潜德之幽光
LAJJSY-004	002.蒋介石是日本士官学校毕业的吗？.txt	129	129	yes		英雄不问出身
LAJJSY-005	003.蒋介石加入了“丈夫团”吗？.txt	23	23	yes		当仁不让
LAJJSY-006	003.蒋介石加入了“丈夫团”吗？.txt	23	23	yes		富贵不能淫，贫贱不能移，威武不能屈，此之谓大丈夫
LAJJSY-007	005.紧要关头，蒋介石在哪？.txt	165	165	yes		其介如石
LAJJSY-008	005.紧要关头，蒋介石在哪？.txt	165	165	yes		吾能于亭后小筑三椽，隐居自适，斯愿足矣！
LAJJSY-009	005.紧要关头，蒋介石在哪？.txt	165	165	yes		养天地正气，法古今完人。
LAJJSY-010	006.蒋介石为什么不把父母合葬？.txt	3	3	yes		吾夫既死，与之同棺共穴可也。
LAJJSY-011	007.蒋介石怎样对待老同志？.txt	29	29	yes		几生修到会龙华，马面牛头并夜叉。非是桐宫明一德，却来羑里演三车。
LAJJSY-012	007.蒋介石怎样对待老同志？.txt	35	35	yes		阿奴引入别幽居，见有人将鼻倒书。觉后忆来真梦梦，将毋幻想堕玄虚。
LAJJSY-013	007.蒋介石怎样对待老同志？.txt	41	41	yes		不曾见异敢思迁，许徙蓝庄度夏天。寓舍四围洪水绕，渡船常系浅芦边。
LAJJSY-014	007.蒋介石怎样对待老同志？.txt	41	41	yes		出狱移居周必由，不堪检点客来愁。雪深门杜无人扫，恐露风声又碰头。
LAJJSY-015	016.蒋介石的时间表.txt	7	7	yes		无宁不成埠
LAJJSY-016	018.蒋介石与变化气.txt	9	9	yes		人有日诵万言，或绝妙技艺，此可学否？曰：不可。
LAJJSY-017	018.蒋介石与变化气.txt	9	9	yes		学也者，使人求于内也。不求于内而求于外，非圣人之学也。
LAJJSY-018	018.蒋介石与变化气.txt	11	11	yes		近世有人为学，专要说空说妙，不肯就实，却说是悟，此是不知学。
LAJJSY-019	018.蒋介石与变化气.txt	13	13	yes		所谓气质无待于变化者，以气质之本然，即人之恒性，无可变化。
LAJJSY-020	018.蒋介石与变化气.txt	15	15	yes		必在行上得之
LAJJSY-021	018.蒋介石与变化气.txt	15	15	yes		变化气质之恶，三代圣人，全未道及。
LAJJSY-022	018.蒋介石与变化气.txt	21	21	yes		为学大益，在自能变化气质。
LAJJSY-023	018.蒋介石与变化气.txt	21	21	yes		学者先须变化气质。
LAJJSY-024	020.蒋介石只信基督教吗？.txt	19	19	yes		忠孝传家
LAJJSY-025	021.蒋经国怀胎二十多个月吗？.txt	3	3	yes		报告队长，大概在十个月后！
LAJJSY-026	021.蒋经国怀胎二十多个月吗？.txt	31	31	yes		阳翟有妇人，妊身三十月，乃生子
LAJJSY-027	022.蒋经国的另一个爸爸.txt	23	23	yes		禁迁葬者与嫁殇者。
LAJJSY-028	022.蒋经国的另一个爸爸.txt	23	23	yes		生时非夫妇，死而迁葬之，使相从
LAJJSY-029	022.蒋经国的另一个爸爸.txt	23	23	yes		原之所以自容于明公，公之所以待原者，以能守训典而不易也！若听明公之命，则是凡庸也！明公焉以为哉？
LAJJSY-030	022.蒋经国的另一个爸爸.txt	27	27	yes		新妇年少，终必他适，可令吾子鳏处地下耶？
LAJJSY-031	022.蒋经国的另一个爸爸.txt	39	39	yes		长支长子不得出继他支
LAJJSY-032	022.蒋经国的另一个爸爸.txt	41	41	yes		大宗不可绝
LAJJSY-033	022.蒋经国的另一个爸爸.txt	43	43	yes		一门两不绝
LAJJSY-034	022.蒋经国的另一个爸爸.txt	57	57	yes		凡子弟未婚夭亡，类多择一门户相当，年龄相若之亡女，为之定婚，迎接木主过门，礼节如生人嫁娶，名曰‘冥配’。
