id	source_file	line_start	line_end	present	political_hits	quote_text
LAJJSXJ-001	001.蒋介石还是没加入“丈夫团”.txt	11	11	yes		富贵不能淫，贫贱不能移，威武不能屈
LAJJSXJ-002	003.蒋介石怎样暗杀革命元勋？.txt	21	21	yes		幸老父犹健，家计无忧，一至故乡，恐被人情牵累，不能复出矣！
LAJJSXJ-003	003.蒋介石怎样暗杀革命元勋？.txt	217	217	yes		夜雨潇潇地下着，提起笔，忽而又想到用麻绳做腰带的困苦的陶焕卿。
LAJJSXJ-004	003.蒋介石怎样暗杀革命元勋？.txt	221	221	yes		杭、绍一苇可航，君盍归里一省？
LAJJSXJ-005	003.蒋介石怎样暗杀革命元勋？.txt	221	221	yes		情字难却，一见父母妻子，即不能出矣。
LAJJSXJ-006	004.蒋介石在肇和起义中算老几？.txt	125	125	yes		玄都观里桃千树，尽是‘杨’郎去后栽！
LAJJSXJ-007	005.蒋介石与江阴炮台.txt	65	65	yes		一饭酬以千金
LAJJSXJ-008	007.蒋介石与杜夫人.txt	5	5	yes		此度见花枝，白头誓不归！
LAJJSXJ-009	007.蒋介石与杜夫人.txt	41	41	yes		种瓜得瓜，种豆得豆
LAJJSXJ-010	007.蒋介石与杜夫人.txt	107	107	yes		可以死，可以无死，死，伤勇。
LAJJSXJ-011	008.蒋介石犯了兵家大忌.txt	75	75	yes		留得青山在，不怕无柴烧
LAJJSXJ-012	009.蒋介石的“引退谋和书告”.txt	93	93	yes		不到黄河心不死
LAJJSXJ-013	009.蒋介石的“引退谋和书告”.txt	123	123	yes		祝融悔祸兮，回禄屏气。
LAJJSXJ-014	010.蒋介石怎样作弄李宗仁？.txt	39	39	yes		只一人第一，要个个争先，胜固可喜，败亦欣然
LAJJSXJ-015	010.蒋介石怎样作弄李宗仁？.txt	247	247	yes		名不正，言不顺
LAJJSXJ-016	011.蒋介石与真假保密局.txt	11	11	yes		狸猫换太子
LAJJSXJ-017	011.蒋介石与真假保密局.txt	11	11	yes		仙人偷桃
LAJJSXJ-018	014.蒋介石是个什么家？.txt	27	27	yes		割不正不食
LAJJSXJ-019	016.蒋介石遗嘱依法无效.txt	17	17	yes		颜回希孔圣，孔趋亦趋，孔步亦步。
LAJJSXJ-020	016.蒋介石遗嘱依法无效.txt	17	17	yes		虞舜慕唐尧，见尧于羹，见尧于墙。
