score	file	line	text	context
5	《胡适与我》目录.txt	12	千秋万岁名，寂寞身后事	009.“千秋万岁名，寂寞身后事”
3	《胡适与我》目录.txt	14	你们后死有责！	011.“你们后死有责！”
3	《胡适与我》目录.txt	19	微妙关系	016.我与胡适的“微妙关系”
6	《胡适与我》自序.txt	3	‘交友以自大其身，求士以求此身之不朽’，这是李恕谷（塨）的名言，我曾读了大感动。这是‘收徒弟’的哲学！	二十年前，我由萌芽出版社印行《胡适给赵元任的信》，把每一封信都加上我拟的标题，其中有一封拟题为“收徒弟的哲学”，是1959年11月5日胡适写给赵元任的。信中劝赵元任退休后也回到南港中央研究院来，大家一起收徒弟。胡适说：“‘交友以自大其身，求士以求此身之不朽’，这是李恕谷（塨）的名言，我曾读了大感动。这是‘收徒弟’的哲学！”
4	《胡适与我》自序.txt	3	收徒弟的哲学	二十年前，我由萌芽出版社印行《胡适给赵元任的信》，把每一封信都加上我拟的标题，其中有一封拟题为“收徒弟的哲学”，是1959年11月5日胡适写给赵元任的。信中劝赵元任退休后也回到南港中央研究院来，大家一起收徒弟。胡适说：“‘交友以自大其身，求士以求此身之不朽’，这是李恕谷（塨）的名言，我曾读了大感动。这是‘收徒弟’的哲学！”
3	《胡适与我》自序.txt	5	收徒弟	清朝学者李恕谷这段话，意思是说，交朋友的目的在造成自己生前的势力；但是寻找知己与接班人的目的却在造成自己身后的势力。胡适引用这段话的心意，我想和他个人的遭遇不无关系。胡适名满天下，又喜欢交朋友，所以一直活在热闹的气氛里，但是这种车水马龙的热闹，是虚荣的、虚幻的，聪明如他，不会不知道。所以他在热闹之余，未尝不存“求士”之心。他以为“收徒弟”是求士，辛辛苦苦收了...
4	《胡适与我》自序.txt	7	蟠龙大花瓶	胡适先生走进“地狱”后，剩下的，是一片冷漠的局面。何以说冷漠呢？这是专指胡适先生生前围绕在他周围的人说的。他们这批人，在胡适先生生前俨然是他的畏友、良朋、门生、干女婿，是“蟠龙大花瓶”的赠送者、是生日酒会的拜寿者、是“胡适合会”的“标会”者……可是在胡适先生倒下以后，几乎在“尸骨未寒”的当儿，他们就变成了“不认得耶稣”的“彼得”……
3	《胡适与我》自序.txt	7	地狱	胡适先生走进“地狱”后，剩下的，是一片冷漠的局面。何以说冷漠呢？这是专指胡适先生生前围绕在他周围的人说的。他们这批人，在胡适先生生前俨然是他的畏友、良朋、门生、干女婿，是“蟠龙大花瓶”的赠送者、是生日酒会的拜寿者、是“胡适合会”的“标会”者……可是在胡适先生倒下以后，几乎在“尸骨未寒”的当儿，他们就变成了“不认得耶稣”的“彼得”……
3	《胡适与我》自序.txt	7	胡适合会	胡适先生走进“地狱”后，剩下的，是一片冷漠的局面。何以说冷漠呢？这是专指胡适先生生前围绕在他周围的人说的。他们这批人，在胡适先生生前俨然是他的畏友、良朋、门生、干女婿，是“蟠龙大花瓶”的赠送者、是生日酒会的拜寿者、是“胡适合会”的“标会”者……可是在胡适先生倒下以后，几乎在“尸骨未寒”的当儿，他们就变成了“不认得耶稣”的“彼得”……
3	《胡适与我》自序.txt	7	尸骨未寒	胡适先生走进“地狱”后，剩下的，是一片冷漠的局面。何以说冷漠呢？这是专指胡适先生生前围绕在他周围的人说的。他们这批人，在胡适先生生前俨然是他的畏友、良朋、门生、干女婿，是“蟠龙大花瓶”的赠送者、是生日酒会的拜寿者、是“胡适合会”的“标会”者……可是在胡适先生倒下以后，几乎在“尸骨未寒”的当儿，他们就变成了“不认得耶稣”的“彼得”……
3	《胡适与我》自序.txt	7	不认得耶稣	胡适先生走进“地狱”后，剩下的，是一片冷漠的局面。何以说冷漠呢？这是专指胡适先生生前围绕在他周围的人说的。他们这批人，在胡适先生生前俨然是他的畏友、良朋、门生、干女婿，是“蟠龙大花瓶”的赠送者、是生日酒会的拜寿者、是“胡适合会”的“标会”者……可是在胡适先生倒下以后，几乎在“尸骨未寒”的当儿，他们就变成了“不认得耶稣”的“彼得”……
4	《胡适与我》自序.txt	9	交友以自大其身	胡适先生所引用的“交友以自大其身”，在他死后，就缩小得一至于此！“交友”显然是失败了！
3	《胡适与我》自序.txt	9	交友	胡适先生所引用的“交友以自大其身”，在他死后，就缩小得一至于此！“交友”显然是失败了！
6	《胡适与我》自序.txt	11	〔刘献廷〕尝从容谓余曰：‘吾志若不就，他无所愿，但愿先子死耳！’予惊问故，曰：‘吾生平知己，舍子其谁？得子为吾传以传，复何恨哉？’	在胡适“求士”的心里，我是他特别另眼看待的一位。我父亲是他的学生，我并不是他的徒弟，但是云龙契合之际，我却在他生前死后，做了比任何人都识其大者的事。这种奇缘与情义，求之古今人物，亦属罕见。清朝王源《刘处士墓表》中记“〔刘献廷〕尝从容谓余曰：‘吾志若不就，他无所愿，但愿先子死耳！’予惊问故，曰：‘吾生平知己，舍子其谁？得子为吾传以传，复何恨哉？’”我想，胡适死...
3	《胡适与我》自序.txt	13	恶紫	胡适生在1891年，今年12月17日，是中国算法胡适的百年冥诞，台湾这边，冒出了不少所谓胡适专家有以聚合、有以会议、有以作秀、有以出版。而这些所谓专家，却是国民党压迫自由主义者胡适时，噤口不敢谈胡适者。如今他们识时务而为俊杰，想借胡适以求此身之不朽了，我感而欲呕，特出此书一册，以辨真伪而愧学者。如今胡适日远，百年孤寂、千秋身后，都有待历史家的定评，我当仁不让...
3	001.给胡适的两首寿诗.txt	21	不老	适之先生曾提倡“不老”哲学，又是美国怕太太协会的会员，用这两点意思成此小词，敬贺他六十八岁的生辰。
4	001.给胡适的两首寿诗.txt	125	公自平生怀直气	“公自平生怀直气”（王阳明诗），“七十老翁何所求”？
4	001.给胡适的两首寿诗.txt	125	七十老翁何所求	“公自平生怀直气”（王阳明诗），“七十老翁何所求”？
3	001.给胡适的两首寿诗.txt	165	现在好像翻了船	挪威文豪有名言：“现在好像翻了船”。
3	001.给胡适的两首寿诗.txt	213	胡适之	大寿大来“胡适之”！（因你旅行避寿，故做pun来用。）大鱼大肉大口吃！
4	002.三封没发表的信.txt	13	三无主义	我们做助理的人与研究讲座教授和领甲乙种补助的先生们不同，他们有教授、讲师的本薪，补助的钱对他们是“安定费”，是本薪以外的“补”与“助”，可是我们“助理级”的就不同了，早几天或晚几天发薪对我们所生的影响是不能跟他们比的，每月唯一的一千元，它是我们的本薪，它迟迟不发，对“专任”两个字是一种讽刺，并且使我不好意思再向姚先生借钱，使我三条裤子进了当铺，最后还不得不向...
3	003.胡适之不怕老婆考.txt	5	做牛做马	胡适之先生致力怕老婆工作凡四十年，他是美国怕太太协会的会员，今年又加入法国的会籍，他老是到处宣传PTT（怕太太）哲学，主张我们这一代的男士们要一反老祖宗的作风，要为女士们“做牛做马”。
8	003.胡适之不怕老婆考.txt	9	没被开除，没被开除，开除还得了？	我早就怀疑胡适之并不怕老婆，他经过严格的考试，得了哲学博士；但若用严格的考试来考他怕老婆的行径，他就很难通过了，所以以前曾一度传美国怕太太协会开除了他，他虽一再否认，大呼：“没被开除，没被开除，开除还得了？”可是无风不起浪，我们不得不对大博士油然而生多疑之心了。
5	003.胡适之不怕老婆考.txt	13	女人以打麻将为家常，老太婆以打麻将为下半生大事业	胡太太回国头一天，我特地到南港参观胡先生给太太布置的新房，那是很小的一间，豪华的程度不如胡先生自己那一间，这未免说不过去，房里有个大书架，摆满了胡太太从不爱看的《续藏经》，到处是胡先生的“侵占品”，尤其是找不到梳妆台也找不到麻将桌。唉！记者先生，一个怕太太的人，胆敢如此大意吗？胡先生曾说“女人以打麻将为家常，老太婆以打麻将为下半生大事业”，而胡先生自己，居然...
5	003.胡适之不怕老婆考.txt	15	旧式的，最怕见大场面，也最怕记者访问	胡先生在太太没回国前，一再强调他太太是“旧式的，最怕见大场面，也最怕记者访问”。但是昨天的场面证实了胡太太对应付记者的熟练并不次于胡先生，可见胡先生事前那段强调实在别有用心，我猜他想在太太与记者之间建立一道铁幕，为了怕太太翻他的底牌。毕竟胡太太还是支持老伴儿的，当记者问她胡先生怕不怕她的时候，她只好无限委婉无限哀怨地说：“就算怕吧！”
3	003.胡适之不怕老婆考.txt	15	就算怕吧！	胡先生在太太没回国前，一再强调他太太是“旧式的，最怕见大场面，也最怕记者访问”。但是昨天的场面证实了胡太太对应付记者的熟练并不次于胡先生，可见胡先生事前那段强调实在别有用心，我猜他想在太太与记者之间建立一道铁幕，为了怕太太翻他的底牌。毕竟胡太太还是支持老伴儿的，当记者问她胡先生怕不怕她的时候，她只好无限委婉无限哀怨地说：“就算怕吧！”
6	003.胡适之不怕老婆考.txt	17	当事人直接的观察与直接的回忆	记者先生，在我们学历史的人眼中看来，胡太太这种谈话是绝好的直接史料，它出自“当事人直接的观察与直接的回忆”。在两造各执一词的时候，如果我们不相信亲爱的胡先生，那么我们就要相信亲爱的胡太太了。
5	003.胡适之不怕老婆考.txt	25	巴黎惧内会的十枚会章	〔本报讯〕教育部国民教育司司长叶楚生，昨天下午2点30分，带了一盆亲手种植的蝴蝶兰，前往台大医院，探望胡适博士，并将中央通讯社巴黎特派员李强光托带转递的“巴黎惧内会的十枚会章”交给胡适博士。
3	003.胡适之不怕老婆考.txt	33	巴黎惧内会会章	这种由叶楚生司长带来中国，被李强光称为“巴黎惧内会会章”送给我国第一位权威学者胡适博士的幸运的小角子，乃是一种镍合金，娇小玲珑，光洁可爱，大小与我国的一毛钱的镍币差不多。正面中间有一个类似法国古代武士的人头，人头上边各有一字，一个是Republique，一个是Francaise，人头下面并有1937四个阿拉伯字。反面中间有一个凹道，铸有横排的PTT三个大写的...
3	003.胡适之不怕老婆考.txt	35	巴黎惧内会会章	胡适博士风趣地对叶司长说，昨天上午看到报纸，知道李强光托她带来“巴黎惧内会会章”，并要他全权分配十位惧内同志时，他还很担心，不知要分给谁好。
4	003.胡适之不怕老婆考.txt	45	会员的资格，会员的资格。	有人问他是否具有会长资格。他又风趣地回答说：“会员的资格，会员的资格。”（1961年4月14日）
4	004.胡祸呢？还是祸胡？.txt	3	播种者胡适	在胡适死后的第一个星期里，我写了一篇《为“播种者胡适”翻旧账》（《文星》第五十三期，1962年3月1日），指出当时“捧胡”和“骂胡”的人中，一共可分六派：
4	004.胡祸呢？还是祸胡？.txt	23	走进了地狱	⑦叛胡派——这是一种过去捧胡的人，在胡适“走进了地狱”以后，开始投奔在另一方面的阵营里，卖友求荣，以鞭尸为乐；
3	004.胡祸呢？还是祸胡？.txt	27	读书人	从这些派别的分类，颇可看出人心的险恶和消长，同时也不难看到今日所谓“读书人”知人论世的尺度。
3	004.胡祸呢？还是祸胡？.txt	29	学术研究	在以上八大派里，有一个奇怪的派就是“骂胡派”中的第⑤——栽赃派。这一派在胡适生前，曾以匿名小册《胡适与国运》到处散发，以致被警察老爷找上门来。后来在事件过去以后，他们的匿名行为开始作废，一一把真名亮了出来。原来一个是台湾大学历史系教授，一个是国防医学院教授，前者以提倡读经名世，后者以提倡中医著称。他们在事发后宣称这本匿名小册是“学术研究”，这更增加了它的传奇...
3	004.胡祸呢？还是祸胡？.txt	31	大学教授	……《胡适与国运》这本小册的问题在什么地方呢？笔者幸运，有机会将这本小册看了一遍。我所得到的印象是：一、人身攻击；二、毫无思路；三、缺乏常识；四、汉文欠通；五、不诉诸论证而诉诸情绪；六、有主张而无解析。七、专门向真正学人不屑一顾的现实政治权利等问题上瞎扯。这样的小册之本身，明眼人一看就可知道是现实政治的副产物。我看过之后以为不过是高等师范一年级程度的人干的勾...
4	004.胡祸呢？还是祸胡？.txt	33	春秋笔法	其实殷海光何必“惭愧”？中国目前的许许多多所谓的“大学教授”的文章、程度与人格作风，就是这个样子。《胡适与国运》的作者群，唯一不同的是，他是非常不善于“藏拙”的“教授”。他们要表现，要用“春秋笔法”诛人，要散发匿名小册来“学术研究”，要以孔丘诛少正卯的心情来杀他们心目中的“乱臣贼子”。结果呢，他们的真相因此暴露，使天下有识之士恍然大悟：原来眼前的一些“大学教...
