file	line	quote
《启发你的小故事》题辞.txt	1	启发你的小故事
《启发你的小故事》题辞.txt	3	喜欢借题发挥
《启发你的小故事》题辞.txt	3	他在其中
001.我给我画帽子.txt	5	画影图形
001.我给我画帽子.txt	5	验明正身
001.我给我画帽子.txt	7	真要命！
001.我给我画帽子.txt	9	我们家早起刷牙，买不起牙粉，更买不起牙膏，只能用盐水刷牙，哪有余钱去日月潭呢？
002.交友之道新解.txt	3	白色恐怖
002.交友之道新解.txt	3	匪谍
002.交友之道新解.txt	3	匪谍
002.交友之道新解.txt	3	匪谍
002.交友之道新解.txt	3	匪谍
002.交友之道新解.txt	3	匪谍
002.交友之道新解.txt	5	无友不如己者
002.交友之道新解.txt	5	友直、友谅、友多闻
002.交友之道新解.txt	5	友天下之善士。
002.交友之道新解.txt	5	友天下之善士为未足，又尚论古人。
002.交友之道新解.txt	7	伯远帖
002.交友之道新解.txt	7	既幸予得见王珣，又幸珣书不尽湮没，得见吾也！
002.交友之道新解.txt	9	匪谍
002.交友之道新解.txt	9	天下之善士
002.交友之道新解.txt	9	匪谍
002.交友之道新解.txt	9	天下之善士
002.交友之道新解.txt	9	时光隧道
003.贪污的一个好处.txt	3	中国人的贪污思想
003.贪污的一个好处.txt	3	调查局研究
003.贪污的一个好处.txt	9	你在台中一中工作十多年，工作成绩，有目共睹，……你知道我过去一再写文章攻击现在的中学训导处活像警察局，而你老太太正好在一中训导处掌管全校小毛头请假大权，不肯收任何红包，自然积怨不少。你记得上个月我还向你开玩笑说：你老太是标准的‘悍吏
003.贪污的一个好处.txt	9	人情
003.贪污的一个好处.txt	9	红包
003.贪污的一个好处.txt	9	贪污
004.追过了头.txt	3	哈哈笑
004.追过了头.txt	3	贼在后面
004.追过了头.txt	5	君何往？
004.追过了头.txt	5	逐贼耳！
004.追过了头.txt	5	贼在何处？
004.追过了头.txt	5	在后面，在后面。
004.追过了头.txt	9	追过了头
004.追过了头.txt	11	逃得慢
004.追过了头.txt	11	逃得快
004.追过了头.txt	11	逃得快
004.追过了头.txt	11	逃得慢
004.追过了头.txt	13	中央日报
004.追过了头.txt	13	我军一撤千里，匪军追赶不及。
004.追过了头.txt	13	剿匪多年，可是从来都是被自己人追着逃，从没被共产党追着逃
004.追过了头.txt	13	逃得快
004.追过了头.txt	15	逃得快
004.追过了头.txt	15	逃得快
004.追过了头.txt	17	三人行
004.追过了头.txt	21	共匪战法应积极搜集资料，并可聘任对俄共有研究之专家，作有系统之研究，分期编著报告
004.追过了头.txt	21	匪军战法专题研究组
004.追过了头.txt	21	匪军战略战术之研究
004.追过了头.txt	23	战线不固定
004.追过了头.txt	23	大踏步前进
004.追过了头.txt	23	大踏步后退
004.追过了头.txt	23	打得赢就打，打不赢就走
004.追过了头.txt	25	一切的走都为着打
004.追过了头.txt	31	匪行军速度
004.追过了头.txt	31	发挥无比的行军力
