file	line	text
001.从《中央日报》捧杀人犯说起.txt	1	从《中央日报》捧杀人犯说起
001.从《中央日报》捧杀人犯说起.txt	3	十八年来，国民党《中央日报》一而再、再而三的骂我，我笑着对自己说，被他们骂骂也好，要是被他们捧，那可能要倒霉。例如，在1961年2月24日的《中央日报上》，就大捧特捧“嘉义刘内科医院院长刘堂坤”，肉麻的说：
001.从《中央日报》捧杀人犯说起.txt	9	不料肉麻以后三年，刘堂坤与“女护士命案”扯在一起，被判死刑。《中央日报》把肉麻话一概收起，不再谈“活人无算”“急公好义”了，开始落井下石了！
001.从《中央日报》捧杀人犯说起.txt	11	刘堂坤在一审中被“明镜高悬”的法官判处死刑，二审中又被“明镜高悬”的法官判处死刑。事后，台湾省医师公会理事长吴基福先生对我说，根据医学的原理与技术，所谓刘堂坤麻醉女护士，照法官所述说的情况，绝不可能！这种绝不可能，本来已有专家证明给法官了，可是法官——乱用“自由心证”的法官——却官样文章，“不予采信”——对专家的意见“不予采信”！结果仍是判了刘堂坤的死刑。
001.从《中央日报》捧杀人犯说起.txt	15	犯罪之认定全凭客观的证据，这本是近代证据法则的公理，不容任何什么训练班讲习班出身的法官乱来曲解的。不根据证据而根据荒谬的类推方法来判案，这种流弊，是最危险的。即以这次命案为例，刘堂坤在初审中被判死刑，洋洋万言的判决书完全是一篇“猜谜示范”的范文，并不是咬得紧紧的有力证据书。用这样“想象的情况”来判人死刑，它的毛病，在二审判决中立刻就暴露了！二审判决推翻初审判决，并不是不把刘堂坤判死刑，二审判决照样把这个可怜的医生判了死刑。所不同的是，二审判决又从另外一个角度来编织“想象的情况”、来“猜谜”。这无异是说：初审的法官呀！你们的年资太浅，想象力不够，你们猜得不好！还是看我的！
002.只许我中央，不许你中央.txt	3	1946年9月24日，“大有为政府”制造出一种“标准法”一共九条，第1条说：“本法所称标准，系依标准制定程序，所制定全国共同遵守之国家标准。”第3条说：“经济部设中央标准局，掌理全国各种标准事宜。”第5条说：“凡适合标准之产品及方法，呈经中央标准局审查合格后，加正字标记，以资识别。”这是积极方面的法律；“大有为政府”又制造出一种“商标法”，第37条说：“相同或近似于正字标记”的“商标图样”，“不得申请注册”。这是消极方面的法律。于是，就在这两极法律的“围标”下，中华民国有了中央标准局的官定正字标记。
002.只许我中央，不许你中央.txt	5	正字标记的主人是中央标准局，可见中央级比正字级高级，一变成中央标准，自然就大显赫特显赫，“中央党部”也、《中央日报》也、“中央通讯社”也、“中央银行”也、“中央信托局”也、“中央文物供应社”也……中央先就抢先一步，神气活现起来。神气活现之余，首先就推出“只许我中央，不许你中央”的霸道作风：台北中山北路的一家“中央妇产医院”，被勒令改名，该医院无法，只好改名叫“中泱妇产医院”；仁爱路这边的“中央开放医院”，也被勒令改名，该医院是财阀办的，也挡不住，只好改名叫“中山纪念医院”。由此可见，“中央”已经变成了商标，不，不对，已经变成“政标”，变成了“政”字标记。
002.只许我中央，不许你中央.txt	11	我“望中央”的结果，发现所谓正字标记，又岂限于“产品及方法”吗？又岂限于“经济部中央标准局”的作业吗？非也。整个“中央”的作业，其实都是处心积虑的在“加正字标记，以资识别”同志或同路人，“加正字标记”to separate the sheep from the goats。相对的，被“中央”加正的，自然是同志、是同路人、是——sheep 了。
002.只许我中央，不许你中央.txt	17	我的《大人格与小人格》发表后，正字标记的“士羊”们，在海内外的杂志上，展开对我的人格的评论，我看了真好笑。我李敖的人格，比他们高得太多了太多了，他们这些给主子在身上盖正字戳子的，他们懂什么叫人格？石秀骂人说：“你这给奴才做奴才的奴才”，这种奴才的新生代，他们只懂摇尾巴，他们懂什么叫人格？
003.反对党·党反对.txt	5	我们老祖宗住家，以五家为邻、二十五家为里、五百家为党、一万两千五百家为乡。那时候每一邻的名字写在一块木板上，一党的名字正好用一百块。每块木板三尺高一尺宽三分厚，装在大口袋里，由人背着走，叫“负式版者”。《论语》里记孔夫子对“负式版者”尊敬，因为不能不尊敬，他们是查户口的啊！
003.反对党·党反对.txt	9	“党”字在中国历史久远，《书经》里早就有“无偏无党”的话，《论语》里也有“君子不党”“群而不党”的说词。孔夫子强调“君子矜而不争，群而不党”，意思是有党就有争执和偏执，有党是不太好的。
003.反对党·党反对.txt	47	“训政”是清朝西太后用的名词，国民党用这种字眼，真是好有一比。国民党在一九二八年十月三日通过了“国民政府组织法”，同时通过了六条“训政纲领”，以为这个组织法的依据。陈茹玄在《增订中国宪法史》里，曾说这个“国民政府组织法”下“国民政府之组织，非合议制，实大近独裁制”，是“合议其形式而独裁其精神”的。陈茹玄是国民党大员，他这种说法，悍然表示了国民党是独裁的。既然独裁，一切就没有道理好说。在“党外无党”的独裁下，自然一切其他的党，就统统在怪胎之列，而要予以打掉。
003.反对党·党反对.txt	53	直到1937年抗战以后，国民党才与青年党员交换了合作信函，青年党说“愿与国民党共患难”，国民党却根本不提青年党，只是承认这批人而已。当时青年党的“中央同志多不悦”，曾琦说：“今国难严重，国家主义者当以国事为先，不必拘此小节！”于是青年党就做起花瓶来了。因为瓶功不小，甚至一度分到农林部长、经济部长干。最后花瓶带到台湾，整天给国民党赏心悦目起来，小节固然不拘，大节也“青菜”了！最后闹到党中央多胞案以至夺屋案，丑态百出。变成了像民社党一样的宝，令人又好气又好笑。
003.反对党·党反对.txt	57	再看对民社党这怪胎。1930年，张东荪在上海主持《时事新报》，主张国社主义，后与张君劢联合，在1933年10月，发起国社党成立大会，当时他们解释，此国社党非希特勒的纳粹，纳粹该译成民社而非国社，国社的意思是绝对的爱国主义与渐进的社会主义，但是后来，他们还是合并了民主宪政党，而改叫民社党了。
003.反对党·党反对.txt	59	张君劢在上海自己有一所大学，叫“国立政治大学”，1927年国民党进入上海后，把他的大学没收，并在日后办了国民党的“国立政治大学”。张君劢在1928年办《新路杂志》，每期印3000份，用特种邮寄方法（夹在其他书报中，分散处理），寄出租界。国民党为了给他颜色看，由上海警备司令部派人化装成强盗，在1929年端午节前几天，把他绑票，关在司令部附近小屋中。20天后，予以修理后释放，从此腿部成伤，终生不良于行。
003.反对党·党反对.txt	61	张君劢遭到的迫害，另有在言论方面的和职业方面的。在言论方面，他写《政治学ABC》，广告一出，上海特区法院院长吴经熊就要查封世界书局；他翻译的拉斯基（Laski）《政治典范》（A Grammar of Politics），商务印书馆王云五坚持改名“张士林”才肯出版。1934年12月26日国民党在北平烧书12819册，其中3100册都是张君劢编的。在职业方面，国民党逼他离开燕京大学，又逼他离开中山大学。离开中山大学前，校长邹鲁说某方面要行暗杀，请他小心。张君劢的因义受难，困顿一至于此！
003.反对党·党反对.txt	69	在青年党与民社党外，共产党又是一大怪胎，因为共产党一开始本是“容”在国民党里头的，在国民党“联俄容共”的三年里（1924-1927），他们一起建立了一党独大，也建立了一党独大的党化军队。当时的密切情形，为免国民党给我戴帽子，我引1950年10月19日国民党自己的《中央日报》译文为例：
003.反对党·党反对.txt	77	当然，以看在野党眼光看共产党的，也不止于洋鬼子。以胡适为例，他在1945年8月24日，就秘密托王世杰给毛泽东打电报，原文说：
003.反对党·党反对.txt	81	胡适的“为中国建立一个不靠武装的第二大政党”的劝告，共产党是听不进去也不相信的，他们说他们若没有“这几条烂枪”，他们早就被国民党打得稀巴烂了，国民党是不允许他们“和平奋斗”的。说的确是实情。胡适后来回忆这封电报，自嘲的说：“在理想主义澎湃的那些日子里，我跟国内政治和国际政治的生手们同样的天真……竟天真到打了一封长的电报到重庆，以便转交给我从前的学生毛泽东！”最后胡适清楚知道，在国民党统治之下，美国杰斐逊（节福生）路线或英国工党路线，是绝对不可能的，“和平奋斗”的政党政治，在中国毕竟是教科书上的词汇！
003.反对党·党反对.txt	95	那么，我们怎么办呢？再等嘛，总不是办法，因为国民党大员戴传贤早在1944年就说过：“周朝的天下是800年，国民党至少要掌握政权1000年！”我们虽已等了七八十年、五六十年、三四十年，可是用1000年一减，即使寿比800岁的彭祖、寿比930岁的亚当（Adam）、寿比950岁的拉麦（Lamech）、寿比969岁的玛士撒拉（Methuselah），也还是空等一场，到头来还是要听《秋水伊人》之歌，与国民党周旋不已！
003.反对党·党反对.txt	99	国民党整天要我们读《国父遗教》，《国父遗教》里明明说：“一国之政治，必须有党争，始能进步。”“互相更迭、互相监督……乃争公道，可见党争实不可少。”但是，国民党几十年来，用各种漂亮的和丑陋的理由违反《国父遗教》，不准我们争公道，不准我们有反对党，难道我们就算了吗？我们当然不，孙文复活了，也不会赞同我们就算了。
003.反对党·党反对.txt	105	做为一个被国民党判过十年大狱的我，在苦心焦思之余，终于想出一个法子。这个法子，是我最近写《给林洋港先生上一课》时想出来的。国民党大员林洋港在答覆许荣淑、苏秋镇的质询里，讲了一些强词夺理的话，他说目前情形并不影响个人政治理想的实现以及政治参与，在选罢法中，并未规定无政党提名者不得竞选。尽管党禁不开放，但是并不影响人民的参政权，志同道合的人彼此联系，只要符合法律，还是不会有人加以干涉的。林洋港这些话，当然是违反政党政治的运作原理的，自不消说。但是从另一个角度来发扬他的高见，却也足以做为警世通言。
003.反对党·党反对.txt	107	为什么呢？因为按照政党政治运作的原理，所谓政党，不过是透过集体力量，共同活动，取得政治领导或影响力，在民主国家中，不管出之以两党制，还是出之以多党制，还是出之以日本鬼子式的“一个半政党制”，都是在制衡中求民主，这是常识；但在非民主国家或假民主国家中，常识就变成反常与无识，这种国家的政党，就变成一党制。这种一党制，有的出之以一党无他制(像意大利的法西斯党、德国的纳粹党、苏联的共产党)、有的出之以一党独大制、有的出之以一党变体制（像土耳其的国民党、墨西哥的革命党)。不论出之以哪种体制，这种老子唯一的毛病一出现，就绝非民主之福；这种舍我其谁的气概一出现，就容易“一党在朝，他党在牢”，离民主就会你民我主了。
