score	file	line	text	context
5	《李登辉的假面具》目录.txt	11	意淫大陆，手淫台湾	008.李登辉“意淫大陆，手淫台湾”
7	001.“新瓶装新酒”吗？.txt	3	这譬喻很形象化，值得叫好。	7月15日，国民党第一党报《中央日报》刊出短评，题为《新瓶装旧酒》，说“中国国民党第十三次全国代表大会闭会，‘中评会’与‘中委会’紧接着召开，各方瞩目的‘中常委’暨正副秘书长人选亦已底定，阵容堂堂，党主席李登辉先生特以‘新酒装新瓶’相期许，提示今后执政党当从新的内涵上重写历史的新章。”同一天，《联合报》也刊出短评，题为《新酒·新瓶》，说“这譬喻很形象化，值得...
6	001.“新瓶装新酒”吗？.txt	3	中国国民党第十三次全国代表大会闭会，‘中评会’与‘中委会’紧接着召开，各方瞩目的‘中常委’暨正副秘书长人选亦已底定，阵容堂堂，党主席李登辉先生特以‘新酒装新瓶’相期许，提示今后执政党当从新的内涵上重写历史的新章。	7月15日，国民党第一党报《中央日报》刊出短评，题为《新瓶装旧酒》，说“中国国民党第十三次全国代表大会闭会，‘中评会’与‘中委会’紧接着召开，各方瞩目的‘中常委’暨正副秘书长人选亦已底定，阵容堂堂，党主席李登辉先生特以‘新酒装新瓶’相期许，提示今后执政党当从新的内涵上重写历史的新章。”同一天，《联合报》也刊出短评，题为《新酒·新瓶》，说“这譬喻很形象化，值得...
6	001.“新瓶装新酒”吗？.txt	3	俗话说旧瓶装新酒，是一种嘲讽。新酒装在旧瓶里，虽新犹旧；而新酒竟然装在旧瓶里，实在可惜。更重要的，乃是新酒与旧瓶，不可相提并论。	7月15日，国民党第一党报《中央日报》刊出短评，题为《新瓶装旧酒》，说“中国国民党第十三次全国代表大会闭会，‘中评会’与‘中委会’紧接着召开，各方瞩目的‘中常委’暨正副秘书长人选亦已底定，阵容堂堂，党主席李登辉先生特以‘新酒装新瓶’相期许，提示今后执政党当从新的内涵上重写历史的新章。”同一天，《联合报》也刊出短评，题为《新酒·新瓶》，说“这譬喻很形象化，值得...
6	001.“新瓶装新酒”吗？.txt	3	新酒不是为旧瓶而酿造的，旧瓶若不是可丢掉的垃圾，便只能当作古董。新酒当然不能装在旧瓶里被时代遗弃，或给人一起当作古董看，现在新酒既然酿造出来了，且看中常委们如何制出新瓶来。	7月15日，国民党第一党报《中央日报》刊出短评，题为《新瓶装旧酒》，说“中国国民党第十三次全国代表大会闭会，‘中评会’与‘中委会’紧接着召开，各方瞩目的‘中常委’暨正副秘书长人选亦已底定，阵容堂堂，党主席李登辉先生特以‘新酒装新瓶’相期许，提示今后执政党当从新的内涵上重写历史的新章。”同一天，《联合报》也刊出短评，题为《新酒·新瓶》，说“这譬喻很形象化，值得...
6	001.“新瓶装新酒”吗？.txt	7	Neither do men put new wine into old bottles; else the bottles break, and the wine runneth out, and the bottles perish； but they put new wine into new bottles, and both are preserved. 	所谓“旧瓶不能装新酒”，其实是一种错得离谱的翻译。这话源出《新约·马太福音》第九章第十七节，英译原文是“Neither do men put new wine into old bottles; else the bottles break, and the wine runneth out, and the bottles perish； but they...
6	001.“新瓶装新酒”吗？.txt	7	没有人把新酒装在旧皮袋里，若是这样，皮袋就裂开，酒漏出来，连皮袋也坏了；惟独把新酒装在新皮袋里，两样就都保全了。	所谓“旧瓶不能装新酒”，其实是一种错得离谱的翻译。这话源出《新约·马太福音》第九章第十七节，英译原文是“Neither do men put new wine into old bottles; else the bottles break, and the wine runneth out, and the bottles perish； but they...
3	001.“新瓶装新酒”吗？.txt	7	旧瓶不能装新酒	所谓“旧瓶不能装新酒”，其实是一种错得离谱的翻译。这话源出《新约·马太福音》第九章第十七节，英译原文是“Neither do men put new wine into old bottles; else the bottles break, and the wine runneth out, and the bottles perish； but they...
3	001.“新瓶装新酒”吗？.txt	9	没有人把新酒装在旧皮袋里	为什么旧皮袋不能装新酒呢？因为旧皮袋用山羊皮光的一面做里子，用久以后，又干又脆，若装了新酒，因新酒所余，容易发酵，旧皮袋包不住，就撑破了，所以《新约》说：“没有人把新酒装在旧皮袋里”，只有装在新皮袋里，酒与皮袋，才都可保全。
3	002.这是哪门子“新酒”？.txt	3	谁赞成提名人选？	国民党十三全会中，党主席李登辉提名了苏南成做中央委员；接着在十三届一中全会中，又提名了苏南成做中央常务委员。不论中央委员和中央常务委员，苏南成都顺利当选了。中央委员是投票选举，你提你的名，选不选在我，问题还不太大；但中央常务委员却是举手选举，在萧万长和孙运璿分别提出由党主席提名举手通过的建议后，没人要求投票选举，于是，李登辉泰山压顶式一站，就提出的三十一名中...
