file	line	text
001.《李敖语录》前言（苏荣泉）.txt	1	《李敖语录》前言（苏荣泉）
001.《李敖语录》前言（苏荣泉）.txt	13	李敖说：我无法谦虚了，我深觉继往开来的重担上，我担当着一大部分重量，而这等责任又是非我莫属、舍我其谁的，我无法放松我自己，因为我无法忘怀我所应尽的责任，我深知在这浑噩的男人群里，我是一个罕有的奇才、一枝锋芒的独秀，没有人能够跟我相比，我站在世界的一方！
002.《李敖语录》总序（李敖）.txt	1	《李敖语录》总序（李敖）
002.《李敖语录》总序（李敖）.txt	5	常言道“著作等身”，但和身体一边高的著作，只是多而已矣，未必又多又好，国民党中央宣传部代理部长任卓宣（叶青）就是“著作等身”的一位，但是所写各书，本本是糟粕而已，纵等了半天身，又奈读者何？等而上之，国民党层峰极处，也颇多“全集”、“汇编”问世，究其内容，类多出自文学侍从之手，其去王安石所谓“断烂朝报”者，又几希？
002.《李敖语录》总序（李敖）.txt	9	胡适生前，有鉴于此，乃自编《胡适文选》一册，以为救济；不过文选这种体例，它的基本缺点，乃在但求代表性的文章成单元，却忽略了思想方面的普遍选样。结果是代表性的文章虽然完整了，可是代表性的思想却遗漏得很厉害。
002.《李敖语录》总序（李敖）.txt	11	为了免除这种缺点，有一种可叫做“隽语选粹”（an anthology of witicisms）式的收罗方法，分门别类，撷取文章片段，综合印行，以便读者的。像伊格奈（Robert E. Egner）编的《罗素短论集》（Bertrand Russell`s Best）、沙诺姆斯基（F. B. Czarnomski）编的《邱吉尔雄辩集》（The Eloquence of Winston Churchill）等，都属于这一类。这一编法，不论长篇大论也好，片语只字也罢，都能一一撷取精华，巨细不遗，故对全部著作的选样流传，极有帮助。读者读来，也如吃点心小菜，在自成单元之中，随意得其真味。
002.《李敖语录》总序（李敖）.txt	13	基于这种认识，在近二十年前，段宏俊和我就合作过一册《胡适语粹》，内容以胡适一生的主要专书和文字汇集为基料，以《哲学·思想史》、《宗教·迷信》、《东西文化》、《中国前途》、《政治》、《社会·经济》、《教育·知识人》、《方法论·国故》、《文学·语文》以及《人物》等大类，分别囊括这些基料，并且贯串这些基料。全部囊括的基料经贯串为五百个小单元，各加标题，以资醒目。这本书问世后，近二十年来，被盗印多起，如今地摊上还屡见不绝，可见这种体例的编法，颇为读者所喜好。
002.《李敖语录》总序（李敖）.txt	15	近二十年过去了，新一代的出版家苏荣泉，对“著作等身”的李敖，有了更进一步的认知，他倡议编一部《李敖语录》，并把语录从宽解释，涵盖“语粹”和英文中“Best”、“Eloquence”等相当书名，用来便利读者。他请出第一流的出版品行家应凤凰主持这一计划。在应凤凰经年累月的细心编辑下，在李敖出版社吕佳真的校补和詹赐珠的顺稿下，以及叶淑珍全力配合的制作下，这部《李敖语录》，终于大功告成。看了这部书的清样，我的感觉是：连我本人，都不想再看其他李敖的书矣；有此一部，李敖的精华，尽收眼底矣！
003.《李敖语录》编辑手记（应凤凰）.txt	1	《李敖语录》编辑手记（应凤凰）
003.《李敖语录》编辑手记（应凤凰）.txt	9	新一代青年也愈来愈难全面的认识李敖——他的著作已愈堆愈高，截至1988年底，他已累积出版了《李敖全集》八大册、《李敖千秋评论》八十余册、《万岁评论》四十册。《乌鸦评论》创刊后，他更以每天一千字以上的写作量，不断增加当中。
