file	line	context
《李敖快意恩仇录》目录.txt	12	——虽云从戎，却未投笔，军中黑暗，我来掀底。
《李敖快意恩仇录》目录.txt	18	——蒹葭苍苍，白露为霜，所谓伊人，在水一方。
《李敖快意恩仇录》目录.txt	32	——梦遗处处，后遗无穷，云雨方罢，烟雨蒙蒙。
001.瞻之在前，忽焉在后（何飞鹏）.txt	3	1997年5月《李敖回忆录》出版，立刻跻身畅销书排行榜，并盘踞排行榜半年之久；该书被列为1997年度十大最具影响力的书，李敖先生也成为当年出版界的风云人物。其实，看完三十万字的《李敖回忆录》，你还不认识真正的李敖！
002.《李敖快意恩仇录》自序.txt	3	你会说：“我已经看了《李敖回忆录》，怎么又冒出了《李敖快意恩仇录》？我看一本够了哇，不要再看第二本啦！”——当然，你可以不看，随便你，只是告诉你：这一本跟那一本全不重复，这并不因为有两个李敖，而是李敖有两个“老婆”，你看到的正集，只算看到了他的“大老婆”，但看这本，才能看到他的“小老婆”。没有人只正视一个人的“大老婆”...
003.陆根纪.txt	13	大陆本来是一片鲁迅“我以我血荐轩辕”天下的，忽然台湾传来荐轩辕死对头的妙诗，自然足为少数民族及被压迫民族张目。而在海峡这边，我也没闲着，我排斥了高山族绝对南来的说法，而采取了高山族是苗族论的新说。在台湾大学教过我考古人类学导论的凌纯声教授，曾综合日本学者金关丈夫、国分直一、鹿野忠雄等教授的见解，益以己说，发表《古代闽越...
003.陆根纪.txt	15	我这苗蚩之后，远祖由云南迁山东、祖父由山东迁东北、爸爸由东北迁北京，最后迁到台湾，我们这一支，除了大姐、二姐外，最后全都落籍台湾了。
003.陆根纪.txt	17	我在13岁1948年离开北京，南下天津和上海，那时大姐、二姐留在北京。大姐大我六岁，正念大一；二姐大我五岁，正念高三。这一分别，一别就是四十四年！1992年我请她们来台湾，那时我已57岁，大姐、二姐已经63、62岁了。三年后1995年，二姐再来台湾，我请她书面回忆吾家旧事，不期她心灵手敏，凭她的好记忆，一写就是六万字。...
003.陆根纪.txt	47	奶奶去世是在晚上，爸爸让我到隔两条马路的干面胡同通知五叔。等我回家之后看到奶奶已被穿戴就绪，停尸在爷爷房间的走廊里。那是个挺可怕的镜头，身材瘦小的奶奶上身穿九件长长短短的袍子，下身套七条裤子，数字是规定的并有什么讲究吧！脚下穿一双崭新的方头绣有花纹图案的鞋，头被卡在一个硬枕头里。寿衣寿材都是早已准备好的。最外面一件寿衣...
003.陆根纪.txt	57	庸人自扰的麻烦事并未到此结束。爷爷死后大约是七期在庙里放焰口。和尚们穿戴很正规，像唐僧的服装差不多的“礼服”，排着队边走边唱，领唱是位职位高的大和尚，其余人只是伴唱。其中有个仪式是大和尚将撕成小块的馒头扔上扬下地撒了满地，说是喂给路边的饿鬼，以便超度亡人。我们什么都看不见，可是和尚慧眼四面八方一定看到不少饿鬼，否则也用...
003.陆根纪.txt	69	又是死人！又是棺材！后两年内务部街甲44号竟变成风流云散、风水失灵的住处。外祖母的寿材停在北房与正房之间的院子里，除去放进去一些金银首饰之外，棺材里还放两副外祖母生前喜欢并且常使用的麻将牌。那是我第一次看见入殓，其他所有有空缺的地方都塞进去很多小包，塞得非常扎实，以便将外祖母挤住不致晃动。想必其中包的是防腐剂或干燥剂吧...
003.陆根纪.txt	95	天旋地转多年后，妈妈在陈平景陪同下，也重返北京，一个人回到内务部街老宅。过去是一家十口离开，现在是一人旧地重游，却住进近十户人家，睹物思情，为之泪下。二姐说得对，内务部街老宅“充满了我一生最美好的回忆”，不单是二姐，每一个离开它的人，都会如此。我从二姐的回忆里，无异故国神游、旧宅重归，但以我的睿智，我真的不认为我此生会...
003.陆根纪.txt	133	我看过一次山西梆子，演员出台的地方挂着张很大的锣，不时敲打发出震耳欲聋的声音。演员的唱腔也尖得要命，让人受不了。还看过一次京戏，只是道白的时候像说大白话似的，唱词中还不时哼出“哎哎嗳嗳哟”代替唱词哗众取宠，记得那出戏叫《木头人招亲》，看戏后爸爸说唱的是“走江湖的野妓戏”。
003.陆根纪.txt	137	另一次也是看日本的什么剧，演员脸上涂得粉白，五官都是画出来的，不成比例，奇丑无比，唱法让人感到不在人世间，或拖长音调无病呻吟，或拉着女人头发怪腔喊叫，看得我毛骨悚然。为了那次倒霉的演出我不知做过多少噩梦。但真正的噩梦会变成现实，发生在我初一升初二的那个暑假。
003.陆根纪.txt	141	1943年暑假过去了，开学前爸爸妈妈原打算送我、敖弟和六妹回北京。我非常兴奋又有机会和爸爸一同乘火车，因为爸爸知识丰富，会谈古说今，会讲成语故事而且讲得生动有趣。顺便提一句，爸爸教书时有个绰号叫“李大下巴”，指他下巴大，也指他讲课有吸引力。随身带的小包中有许多是我爱吃的，像山西无核小葡萄、花色饼干、葡萄干和糖果等，我准...
003.陆根纪.txt	251	清朝顾贞观写《金缕曲》词给流放东北的吴兆骞，中有名句是：“数天涯，依然骨肉，几家能够？”意思是说，天涯海角之内，骨肉之亲，能够活着的、健在的、在一起的，又有几家呢？人世乱离不可避免，连毛主席都太太、妹妹、弟弟被枪毙，长子毛岸英在韩战时被美军炸死；次子毛岸青也疯了。革命者的革命下场，第一家庭都凄惨如此，“依然骨肉”，都不...
