source_file	line	flag	text
《李敖书启集》目录.txt	18		　　015.所谓“移交”问题
001.《北京法源寺》勘误.txt	55		　　以文学手法写历史人物，最困难的是既要古人说现代话（读者是现代人），又要尽量还古人之原，这是一种“必要的矛盾”，稍加苛求，就会发笑。试看莎士比亚笔下的罗马古人说起英文来、伏尔泰笔下的中国古人说起法文来，成何体统？只是你读他们的书，就得先承认他们的“矛盾设定”，其理与学欧几里得几何学相同。罗素回忆他小时候刚学欧氏几何即表质疑其定律，教他的人说你不承认就别学了，他只好屈服。以文学手法写历史人物，必然矛盾丛生，只希望能尽量一致就是了。当然太离谱如你所指出的，自当痛改。不过也有点改不胜改之叹。一不小心，改了还是不满意。即如把“牺牲打”改成“牺牲自己”为例，谭嗣同生时对“牺牲”一词的用法，就跟现代人不同。“术语”古今一致，含义却古今有殊。这还是自觉到的。至于自觉不到的，就更不知多少了。谭嗣同那时代的人，自己也身逢这种矛盾。——张之洞批公文，看到属下引进外来语，乃批说不宜用，此乃“日本名词”。其属下不服，签回去说，你大人用的“名词”一词，就是日本货。在《北京法源寺》中，绝不可能出自书中人物当时之口的，太多了、太多了，追究下去，事实逼真，小说完蛋，此作者之苦也！
002.关于张学良心态动态的讨论.txt	39	risk	　　柏杨在十年冤狱家破人老以后，回到台北，公然表示原谅并同情迫害他的特务、检察官等人，另外在1988年1月15日的《中国时报》上，以《悼蒋经国先生》为题，大做肉麻的吹嘘，举凡“杰出”也、“英明”也、“衷心的祝福蒋经国先生在天之灵”也，全部出笼；又在第二天1月16日的《中央日报》上，以《永怀哀思免于恐惧的自由》为题，再做肉麻的吹嘘，举凡后悔没单独与蒋经国“合照”也、“值得称赞”也、“功德”也、“蒋经国先生领导上开明、宽容的胸襟”也，也全部亮相。这种置蒋经国整他、使他十年冤狱家破人老的杰作于不问，反倒殷殷以马屁报怨的作风，古人的以德报怨，又算老几呀！
002.关于张学良心态动态的讨论.txt	59	risk	　　所谓隐恶扬善（恶不一定是坏，而是曲为之讳的一些事），至多只是做人的美德，却不是作史的史德。史德的标准，在“真实”与“公正”。对事实有所隐、有所讳，不论动机如何，对“真实”而言，都犯了大忌。章太炎为冯自由《中华民国开国前革命史》写序，说有人劝他写出信史，他“犹豫未下笔”，为什么？因为“身不与其事者，非审问则不敢言；身与其事者，所见乾没忮戾之事亦多矣，书其美不隐其恶，或不足以为同志光宠，是以默而息也”。章太炎这位革命元勋为什么这样？原因就在于他无法“书其美不隐其恶”，结果连美也无法一书了。汉公则正相反，他要书其美而隐其恶，结果呢，把蒋氏说成了一代完人，美得冒泡，结果令人起疑，起疑到连真的也被人打了折扣了，所谓“爱之适足以害之”，其理在此。
003.怨结金兰.txt	9		　　二、对于每户加收设备添置费，每户每月400元一节。事实上该加收款，并不支用于添置，而供薪资等经常支出之用。按管理费，系依每户面积计收。竟另以添置费收取为管理常用，则面积宽大户，每坪仅负担管理费42元8角3分。面积狭小户，每坪负担管理费45元4角6分，高出宽大户每坪2元8角2分。如将上述200元加计，每坪差距拉大为3元7角9分。管理费如不依原采坪数面积计收，巧以添置费为不公平计收。我们CD座亦将拒付该400元所谓添置费。
003.怨结金兰.txt	51		　　（二）关于“经费有新台币五六十万元余存”部分——CD座自行“独立”，要求“取回”每户增收之“管理费结存”及“车库管理费结存”。但他们只消一查他们CD座委员手中的“七十九年4月15日”收到的“通知”，就知道所谓“管理费结存”，并非来自“管理费”，而是“增架中耳朵”等的专款。这笔专 款，因中耳朵尚未增架，故在存折中生息待命。专款专用，谁敢移来做每户“新台币200元”的他支？上一专款，是全体住户（CD座只有程灏一人未缴）缴出来的，要退也得经过住户公决，管理委员会才能拨付，非主任委员所能擅还。并且因为是按户收来的，只能直接退给缴款各户，未缴款者如程灏就无款可退，也不能直接退给别立名目的CD座“理事会”。至于“取回”“车库管理费结存”，更令人哭笑不得。我早在1989年5月31日发到各位邻居的信中就指出：“车库使用人每月共缴20550元，其中开支工作津贴2700元，电费2000元，余额15850元，悉数贴补大厦开支。此种贴补，已长达十二年之久。”为数至巨。而车库所有权，并非属于CD座中任何住户，乃是分属于二十二位邻居，他们分别持有土地权状。管理委员会为减轻住户负担，乃将二十二位所拥有的车库，精打细算，划出三个半车位出租，算是公家收入，二十二位邻居也慷慨无间言。但这二十二位邻居，都是ABEF座的，并无CD座的。——CD座未持有车库产权，如今擅行“独立”，却要分起“车库管理费结存”来，此后并要按车库面积“分享之，按月收取”费用了，如此收霸王费，通乎？不通乎？
003.怨结金兰.txt	57	risk	　　七、CD座住户二十三位，既然同仇敌忾，能够团结联合争他们眼中的权利，我倒奇怪，他们为什么不公道的争争？即以他们看得眼红的所谓“管理费结存421230元”而论，只消一查他们CD座委员手中的“七十九年4月15日”收到的“通知”，就知道这笔钱的来源，是每户另缴6500元而来。该笔专款共用于三部分：一、各户装新对讲机。二、电梯不合政府安全规定，要加装超载示警铃等四项以应安全检查。三、增加中耳朵。而CD座中此番首事写信之程灏本人，两年半来却一直是6500元的拒缴者。自己不缴钱，却两年半来坐享邻居缴钱所得的对讲机之便与电梯之安全，揆诸人间道理，恐怕说不过去吧？而CD座住户签名者，同仇敌忾如此、团结联合如彼，却有眼不识程灝、却有奇异道德标准不责问程灏、却有莫测高深的是非尺度不要求程灏，这样子的一伙人，他们还要闹“独立”，什么人还敢挽留他们、高攀他们做邻居呢？
004.《北京法源寺》再勘误.txt	11		　　一、34页一行引用《金刚经》语，用双引号谅必系引用原文，则“一切有为法，如梦如泡影”应是“一切有为法，如梦幻泡影”之误。
004.《北京法源寺》再勘误.txt	51		　　盼你此后续为指正。有你这样的护持，方是著作之幸。“随处结读者，诚意方殷，诸书现全身。”——这是我的“金刚经”，写来报君一粲。
005.再致金兰邻居.txt	5	risk	　　CD座住户二十三位，既然同仇敌忾，能够团结联合争他们眼中的权利，我倒奇怪，他们为什么不公道的争争？即以他们看得眼红的所谓“管理费结存421230元”而论，只消一查他们CD座委员手中的“七十九年4月15日”收到的“通知”，就知道这笔钱的来源，是每户另缴6500元而来。该笔专款共用于三部分：一、各户装新对讲机。二、电梯不合政府安全规定，要加装超载示警铃等四项以应安全检查。三、增加中耳朵。而CD座中此番首事写信之程灝本人，两年半来却一直是6500元的拒缴者。自己不缴钱，却两年半来坐享邻居缴钱所得的对讲机之便与电梯之安全，揆诸人间道理，恐怕说不过去吧？而CD座住户签名者，同仇敌忾如此、团结联合如彼，却有眼不识程灝、却有奇异道德标准不责问程灝、却有莫测高深的是非尺度不要求程灝，这样子的一伙人，他们还要闹“独立”，什么人还敢挽留他们、高攀他们做邻居呢？
