file	line	context
001.《传统下的独白》自序.txt	15	在这里，我愿对“游戏文章”和“专爱骂人”两点，做一点说明。谈到文章，在明朝有所谓“文章二十五品”之说，其中有“简古”“典则”“讽切”“刺议”“攻击”“潇洒”等二十五品，我认为在这些“品”中，一项重大的遗漏可说就是“狂叛品”了。狂叛品的文章最大特色是率真与痛快，有了什么，就说什么；该怎么说，就怎么说。狂叛品的作者深知写文章的重点是在表达作者的意思，只要能达意，使读者痛痛快快地读下去，“形式”上面的计较，是可以不必的。所以嘻皮笑脸，不失为文章；亦庄亦谐，也不失为巨作。最可恨的是一些浅人们，他们看文章，不看文章的“内容深处”说些什么或暗示些什么，却只从皮相着眼，看到文章里一些被视为“不庄重”或“不道德”的字眼或句式便大惊小怪，便草草断定为不能登大雅之堂，不合“君子水准”，不遵守传统的“文章规范”，于是便判定这篇文章是“游戏之作”、是“专爱骂人”，是没有价值或没有多大价值的。其实这真是“混球的文章雅驯观”。我生平最讨厌一些伪君子们在文章上装模作样忸怩作态，一下笔就好像一脑门子仁义道德之气充塞于白纸黑字之间，读其文，似乎走进了孔庙中的大成殿，好像非如临深渊如履薄冰一番不可；读过之后，幸运的读者要昏昏欲睡，不幸的读者便要吃强胃散，文章也...
002.《传统下的独白》再版自序.txt	7	中国广播公司对我这本书中的几段讨论爱情观念的文字特别广播，教我特别高兴。高兴之下，忽然想到林语堂博士办《论语》半月刊时的《论语社同人戒条》第十条——
003.独身者的独白.txt	15	在我抽到第一百零九根新乐园的时候，忽然茅塞顿开直指本心，心想既然“时不我与”“女人不我与”，何不就此提倡独身主义？一个人一生中不像培根那样提倡一阵子独身主义，就好像维纳斯丢了那条胳膊一般。换言之，一个堂堂七尺大丈夫如本文作者者，一定要花他生命一段时间去恨女人恨家庭不可，无金屋可藏、无孺子可教、无脸色可看、无小心可陪、无冤大头可当……而孑然一身，独与天地精神往来，遨游于无何有之乡，广漠之野、纵浪大化以自适其适，这是何等气魄！何等境界！安能效多情小儿女呢呢喁喁鼻涕眼泪耶！
003.独身者的独白.txt	17	对！完全原案，我把烟一丢，拍案而起。独身不但可无妻儿之累，而且可益寿延年：牛顿没结婚，可是活了八十岁；康德没有老婆，活了八十四岁；米开朗基罗打了一辈子光棍，却享年八十有九，独身之为用大矣哉！既可使“蒙主宠召”延期，又可兼做伟人，无怪乎老祖宗们要以“君子必慎其独”来垂训吾等了！
003.独身者的独白.txt	21	由是观之，独身云云，实乃期期不可之举，身既不可得而独，我刚才的决定只好不可得而行。于是，我只好又接上第一百零九根新乐园。
003.独身者的独白.txt	23	烟雾的缭绕使我想起一件往事：那是一个没买到油条的早晨，我家漂亮的六小姐，带着惠华医院老修女的表情，把满墙悬挂的罗勃韦纳的照片一一摘了下来，然后又一一放好，准备长捐箱底。我当时躬逢其会，看得呆了。因为我久仰罗某人是我家六小姐最崇拜的男明星，满墙他的照片平时连碰都不许我们碰，好在我君子已久，早就不立于“岩墙之下”。故受白眼最少。而这回六小姐竟如此突变，令人发指。老太怕有三长两短，特命我去打听。追问之下，六小姐才涕泗横流曰：“罗勃韦纳和那阴险的女明星娜妲丽华今年结婚了，所以我先把照片拿下来，不过我不必烧掉，反正还要离婚的！”
003.独身者的独白.txt	25	六小姐的铁口直断给了我极大的启示：我何必把我的老年想得那么凄惨呢？如果天假以年，我一定可以等到我那些老情人的归来，“衣不如新，人不如故”，除却巫山的晚霞，哪里还有云彩呢？
003.独身者的独白.txt	27	歌德晚年曾和老情人的女儿恋爱，此西土之行径，未合吾礼义之邦的要求，不宜做此非分之想；我们宋代的大词人张子野八十五岁还结婚，此种老当益壮的雄风，连李石曾也得合十顶礼，只要我李敖久而弥笃老而弥坚，不悲观不早死，何愁不能做白头新郎白发潘郎？何必像这些青年男士们，栖遑若丧家之犬，或登报自吹、或乱托媒婆、或飞书应征、或在女生宿舍门前排队注册、或请报上安琪夫人指点迷津……斯文扫地如此、情不自禁如彼，天厌之！天厌之！
003.独身者的独白.txt	29	感慨已定，我决心向六小姐看齐，也如法炮制，把散在眼前的老情人的照片遗物一一加封归档，并向之自矢曰：“任凭弱水三千，我只取一瓢饮。不能黑发偕少，但愿白头偕老；不能永浴爱河，但愿比翼青鸟！”言罢趋出，购书于肆，书名《妾似朝阳又照君》；观影于街，片名《白发红颜未了情》；听白光歌声于大道，歌名《我等着你回来》。于是归而大睡，不知东方之既白。
004.爱情的刽子手.txt	19	“尼采教我们跟女人在一起不要忘记带鞭子，其实这种超人是可笑的，至少我不必担心忘记带鞭子，因为我根本就不跟女人在一起！”
004.爱情的刽子手.txt	51	三年过去了，我又走过那块草地，可是莠草淹没了它，风吹过来，吹动了几朵小黄花，但我也看不到那个不要女人的男人。他睡在大贝湖畔的一个黄土坡里，也许他正在神游乐土，那里有散花仙子、美女霓裳。我想我知道，知道他一定还在继续他的否定，否定使他远离了她们，也失掉了自己。在永隔的幽明与重泉底下，他漠视成片的云彩，云彩永远不会属于他，它只向他默默地招手，深情地、无语地，在黯淡的天边消失了黯淡的影子。
005.一封神气的情书.txt	23	我不能恨上帝，因为上帝照他自己的模样造人，他绝不会造个这么丑的化身；我也不能恨老子和老太，因为那样人家就会说我不孝顺；于是我只好恨我家的小姐和小少爷，我恨他们的缺点都集中在一起长到我头上来了，可是我恨又有什么用？最后小姐们摊牌了：“老哥，请别怪我们不再帮你的忙，请不要再请客、再贿赂了，上帝保佑你，你自己想法子吧！”
005.一封神气的情书.txt	33	一提到那个大美人，我就忍不住先要心酸酸，她真是可爱，与《钟楼怪人》里面的珍娜露露布丽姬妲一模一样的。一个偶然的机会，她发现我颇有才华，于是她接受了我的背影，在歌德所说的恋爱时节，我们开始做着我们所能做的事。
006.假如我是女人.txt	7	下辈子托生做女人，其实并非难事。就以我今生而论，我妈妈生了四个姐姐后才生我，生我之日虽然白胡子爷爷、灰头发奶奶及黑眉毛老子皆大欢喜，咸谓举男不易，终获麟儿，但我妈妈心里却对我这种违背历史潮流深表不满，于是她又生了两个妹妹以为抗议。由此观来，生女固易事耳！此生落选，不必沮丧，二十年后，论倾国倾城乱世孽海者，舍我其谁哉？
006.假如我是女人.txt	37	罗先生既获掌珠，喜不自胜，“看女却为门上楣”，当即援崔莺莺、苏小小、董宛宛、陈圆圆之例，为我取名曰“罗美美”。
006.假如我是女人.txt	41	男朋友既入瓮中，不可不予以控制，你想男人岂是好东西，不控制还得了吗？为了不使男朋友心猿意马，为了使小丈夫低首下心，一定要把他的思想大一统不可，一统之道，除了要谆谆晓以大义外，还得禁止他们去看一些书才好：中国方面，如班昭的《女诫》、于义方的《黑心符》，外国方面，如莎士比亚的《驯悍记》、斯特林堡的《结婚集》，（尤其是1885年出版的下卷，他竟说我们女人是吸血鬼！）至于《醒世姻缘》《少年维特之烦恼》等书，鼓吹男人受我们气、为我们死，值得特别推荐，可鼓励他们多多研读、多多烦恼。
006.假如我是女人.txt	43	坦白地说，男朋友就好比是衣服，这件衣服即使很好、很华贵，可是若在整个礼拜中天天穿它，那就太单调了，别的女孩子也要笑我了，人家张丽珍就有好几十套衣服，赵依依也有五件大衣，周牧师、方神父劝我们节衣缩食，为了怕胖，我已经缩食了，若再节衣，那岂不太自苦了吗？衣之不可节，如同男朋友之不可少；更衣之频繁，如同男朋友之新陈代谢，今天跟他好好的，说不定明天就为他唱“挽歌”，并且张三李四旧雨新知，我要一视同仁——一一为他们“轮唱”！
006.假如我是女人.txt	47	男孩子既然如约前来，我却不必准时赴约，盖守时云云，实在是对铁路局局长说的，根本不是对我们女人说的。我们每个女人都有三大敌人，第一是时间，第二是不追她的男人，第三是别的漂亮女人。其中最可恨的莫过于时间，时间会夺走我的美丽、减少我的多情，更不可饶恕的是，它使我去年辛苦做成的大衣走了样，所以它是我们女人的第一公敌，我们绝对不要遵守它。故约会时间虽到，我虽早已搽完胭脂抹完粉，可是还是先让那男孩子在宿舍门口等上半小时再说。一来呢，可杀其威风、吊其胃口；二来呢，可延长在寝室炫耀的时间；三来呢，那么准时干嘛？又不是赶火车！
006.假如我是女人.txt	49	男孩子我所欲也，男明星亦我所欲也，公然喜欢男孩子，本老娘有点不好意思，可是公然喜欢男明星，就无妨了。故身为女孩子，不可不喜欢男明星；喜欢男明星，不可不加以崇拜；崇拜男明星，不可不有所选择：演《茶与同情》的那个男孩子不坏，可以函索亲笔签名的照片，美中不足的是，他演的片子太少了，“我为卿狂”，诸多不便；詹姆士狄恩最好，年轻怪异，潇洒绝伦，且不幸短命死矣，又悲壮、又凄艳、又不会与别的女人结婚，死得好！有一点要特别声明的是，任何男明星都可喜欢，万万喜欢艾迪费雪不得！人而薄幸，不知其可也；弃妻别娶，知其不可也；黛比可爱而不爱，其不可知也！这种用情不专的卖唱男人，还爱他干吗？
006.假如我是女人.txt	53	亚里士多德说人是政治的动物，其实这话对他们男人说来更切实际。政治这东西要会杀会砍会登台演戏才行，要会打击敌人，也会出卖朋友。……这些皮厚心黑的事，对我们女人说来都是不合适的。在政治上面我们所能做的，除了打开后门收红包外，我们还希望替丈夫多多建立起和裙带有关的关系。至于我自己，我对政治的兴趣无论如何也赶不上对那条花裙子的兴趣，我不关心肯尼迪怎样应付老挝的局势，只关心他怎样应付太太的脾气，报纸第一版似乎是没有什么好看的，这时代不会再有希腊罗马那种英雄美人的战争了，现代的男人都是狗熊，他们不为美人儿打仗，却为非洲的几个小黑人吵来吵去，那太不罗曼蒂克了，这种消息还有什么看头？所以我只看看杂志，看杂志中李敖的文章。
006.假如我是女人.txt	55	由于看杂志，渐渐使我对文艺感兴趣，男人没有女人就没有文学作品，女人身为业障，搞文学更是得天独厚，古代的女人都想做莎孚，近代女人都想做奥斯汀，现代的女人觉得做她们不时髦了，于是想到萨冈，因此美国有萨冈，日本有萨冈，咱们中国也有所谓萨冈（包括以萨冈自命的和被低级文人乱捧起来的）。但是据我看来，她们统统都是画虎不成妄自高攀的冒牌萨冈，真的萨冈在隔海向我招手，却向她们做鬼脸呢！
006.假如我是女人.txt	61	〔后记〕郑清茂先生送了他翻译的日本女作家原田康子的《挽歌》和《轮唱》给我。我借用这两本小说的书名，套在这篇幻想的文章里，做pun来用。这篇文章初稿在1961年7月7日，后来两度修改，最后发表在《文星》六十八号（1963年6月1日台北出版）。发表后被女读者大骂，又被胡秋原引来到法院控告，说我诽谤了他。（1963年8月16日）
007.张飞的眼睛.txt	35	“这有什么不妥吗？就以钓鱼而论，河里这么多可爱的鱼，有些是符合我的标准的，我爱它们，它们一定想吃我的饵的，可是它们没有机会碰到它；有缘碰到了，或因不敢吃而终身遗憾；有的吃了结果被钓住；也许被钓住又逃掉了，那我也无所谓。”
007.张飞的眼睛.txt	71	“这真是一个难开的药方！我们鼓吹开放的社会，但是实在找不到开放的爱情与心灵，在我们这社会里，下焉者对爱情只相信强制执行；上焉者又充满了罗素所谓的‘拜伦式的不快乐’（Byronic unhappiness），病症是这么复杂，你教我如何想法子？我们骨头烧成灰也是中国人，也许老祖宗的例子可以给我们参考。我觉得在老祖宗中，尾生不配谈恋爱，因为太痴情；张生不配谈恋爱，因为太下贱；吴三桂不配谈恋爱，因为太混球；唐明皇不配谈恋爱，因为太胆小，马嵬坡军人一起哄，就吓得赶紧把杨贵妃杀了，落得袁子才骂他‘到底君王负旧盟，江山情重美人轻’，他这个人，若在今天碰到收恋爱税的小流氓，一定丢下女朋友自己先跑了！”
008.中国小姐论.txt	11	现代的中国女人就没有这种危机了，如果她“天生丽质难自弃”，她就可以报名参加男人主办的中国小姐选拔会，若有幸而当选，立即一登龙门身价十倍。第一名可亮相长堤，名利双收，固是美事，即使亚军季军，也可献花朝圣，做空中小姐，自第六名以下，起码可把照片履历宣诸报章，腾之于众口，不但日后转业方便，而且可借此理由，敲老子竹杠，多添两件时装和旗袍，等到徐娘半老之日，还可动辄拈出当年中国小姐的候选证，以骄远邻近舍的三姑六婆。……由此看来，竞选中国小姐实有百利而无一害，千载良机，失之委实可惜。
008.中国小姐论.txt	13	有人看到选美大会，竟联想到古代东方的女奴市场，又有人联想到叫价的拍卖行，真是大逆不道的联想！须知当今之世，即使夷吾再世、孔明复生，若想得君行道，也必须高考及格参加竞选不可，你若再想南阳高卧，草堂春睡方起，有个三顾茅庐的大耳郎来跪地哭求你去做那相桓公霸诸侯使孔夫子不披发的大事业，天下还有这种人才主义的傻瓜政治家吗？老实说吧，现在这时代，你要想出人头地，捷径有千百，正途却只有两条，一条是考，一条是选。至于这两条路是否公平客观，是否清高之士所能忍受，那就非我所知也，你只好去问考选部长。总之，流风所被，这年头简直成了一个考选的世界：留学要考，议员要选；书记要考，教皇要选；电影明星要考，中国小姐要选，凡是孤芳自赏矜而不争的家伙，那你只好做不识时务的人下人了，连冷猪肉你也吃不到。但是考选制度的可贵，乃在替上天做不负苦心人的善举，古人十载寒窗，悬梁刺股，三年不窥园，用这么大的代价来换取布衣将相的享受，其志即使可卑，其努力总是可以评价的；但是若以“自然的本钱”轻易盗得大名大利，未免使那些苦心人看得眼红。我们看不起世袭即位的皇帝，看不起祖荫与裙带的官儿，其理由也即在此。所以在20世纪60年代的民主中国，我们还看到以人民的税捐去养孔子孟子曾子的...
008.中国小姐论.txt	19	古代邯郸大道，为贵族豪俊所标题；咸阳北版，是诸侯子女所鹿聚，现代高等男士们筹办中国小姐选拔，除了可收佳丽云集举国瞩目之效外，另外还有两个副作用，一个是可使女人内讧，盖女人本来都是一致联合起来对付男人的——虽然她们一回宿舍就吵架，现在选美大会一举行，第一名只有一个，有你无我，既生瑜，何生亮；卿不垮，孤不安，个个蛾眉障妒，争把双眉斗画长，这是男士们看来最开心的事；另一个副作用是女人在这时候才最听话，最不能钓男人的胃口，一一鱼贯展览，十步之内，必有芳草，人人在“十目所视，十手所指”的品评下，规规矩矩地答话，诚惶诚恐地做态，平时那种骄横的气概一点也没有了，男士们绝对不会在其他场合同时看到这么多的美女，也看不到这么多的谦虚。
008.中国小姐论.txt	21	有人说参加选美好像是做买卖，在古代是小本经营，女的只为悦己者容，现在却是大企业，须做大广告，公开看货色以广招徕，并且正相反的是，女人冶容是为了群众的悦己，须做大众情人才称快。其实这种心理是未可厚非的，就连我们男性中的孔圣人，也有过叫价心切的流露，所谓：“有美玉于斯……沽之哉！沽之哉！我待贾者也！”只是男人吃亏，不能靠原始的本钱占便宜，尤其是现代的男人，连“面首”也没机会做了，除非是做拳王，但是拳击宝座的得来也良非易事，要鼻青眼肿几千次才行，最后若不及时耍狗熊退休，还得鼻青眼肿地被打下来。呜呼！本钱饭岂是男人所配吃者乎？
009.由一丝不挂说起.txt	5	三十六年前，这个金发美人一丝不挂的来到这个世界；三十六年后，她又一丝不挂的离开。生命的后期被她主动砍断，在她的生命里，有朝云没有晚霞；有早凋没有衰朽，她不等待红颜老去，就印证了《堂吉诃德》的作者所说的：
009.由一丝不挂说起.txt	33	中国人的“裸体艺术”表现都是变态的、可耻的，什么“男女裸逐”啦、“起裸游馆”啦、“裸身相对”啦、“帘为妓衣”啦，无一不是丟人的纪录。换句话说，中国人对肉体的观念是不正常的，这种不正常的观念再被“礼教大防”一阵， 立刻就建构了衣裳的伟大，所谓“絺绤蔽形，表德劝善”，此“圣人所以制衣服”⑤也！
009.由一丝不挂说起.txt	37	古人们既然对肉体有这么古怪的看法，所以他们对衣裳的重视也就不足为奇。可惜的是，中国人的穿衣历史并不怎么光荣，一个号称有五千年礼义之邦的大国国民，直到了汉朝还不知道穿裤子，这是何等妙事！黄帝只知道垂衣裳以治天下⑧，却忘了制造裤子，故尧、舜、禹、汤、文、武、周公、孔子，乃至下传至秦皇汉武，大家都一脉相承了这个不穿裤子的道统！
009.由一丝不挂说起.txt	41	所谓“服妖”，按照《汉书·五行志》的说法，是“风俗狂慢，变节易度，则为剽轻奇怪之服，故有服妖”。这样看来，每一种时髦服装的出现，除非是圣人制定的，否则就有“服妖”的嫌疑，而做这种大逆不道的举动的，若绳之以经典，则正好是“作……异服……以疑众，杀”⑩！
009.由一丝不挂说起.txt	49	再看服装，旗袍是一个大转变，它的转变不在宽边镶滚、不在领子高低，乃在袖子的减少、下摆的缩短与开衩的提高，同时淘汰掉北方的扎脚裤跟南方的散脚裤，换上了长袜子，或是干脆脱掉长袜子，上露胳膊下露腿。这种演变的最后成功是民国十九年，当时男人穿露出一节胳膊的上衣还不准进公园，可是女人的暴露部位，却已赶过了男子！此外，另一种服装上的麻烦是裙子，裙子的缩短在民国以后的女学堂里很快的普遍开来，当然反动的势力还是很大，直到民国十三年，还有什么教育会联合会发表什么议决案，主张女学生“应依章一律着用制服”，而所谓“制服”，乃是“袖必齐腕，裙必及胫”。他们的高论是：
009.由一丝不挂说起.txt	51	衣以蔽体，亦以彰身，不衷为灾，昔贤所戒。矧在女生，众流仰望，虽曰末节，所关实巨。……甚或故为宽短，豁敞脱露，扬袖见肘，举步窥膝，殊非谨容仪、尊瞻视之道！(12)
