file	line	matched_quote	previous_id	previous_book	previous_source	context
004.“我中华尚有人耶？”.txt	7	行客拜坐客	LAWN-021	我最难忘的事和人	005.我最难忘的一个组织.txt:23-23	就因为李敖架子大，所以“国际奸人”费正清来台请吃饭，李敖坚持“行客请坐客”，不回请；就因为李敖架子大，所以“国际奸人”马丁来台约见，李敖坚持“行客拜坐客”，我不去，你来。李敖对外国人的大架子，只有戴高乐庶几近之，李敖真伟大。
004.“我中华尚有人耶？”.txt	7	行客拜坐客	LAFLZ-072	李敖风流自传	386.马丁·埃纳.txt:3-3	就因为李敖架子大，所以“国际奸人”费正清来台请吃饭，李敖坚持“行客请坐客”，不回请；就因为李敖架子大，所以“国际奸人”马丁来台约见，李敖坚持“行客拜坐客”，我不去，你来。李敖对外国人的大架子，只有戴高乐庶几近之，李敖真伟大。
005.由不自由的自由到自由的不自由.txt	11	天涯若比邻	LAWN-093	我最难忘的事和人	008.我最难忘的一个邻居.txt:7-7	吴俊才先生现任中国国民党中央委员会副秘书长，住在普通公寓里，很穷；我现坐“党外人士”冷板凳第一把交椅，住在吴老师家前面豪华大厦里，很阔。我因为经年累月不下楼，大隐于市；又因为水深浪阔，不愿给吴老师不方便，所以一直疏于礼数，不去看他。去年他礼贤下士，大驾光临，我说：“古人‘天涯若比邻’，老师和我，却‘比邻若天涯’！”吴老师太熟悉我那一套，他不见怪。
005.由不自由的自由到自由的不自由.txt	11	天涯若比邻	LAFLZ-064	李敖风流自传	314.梁实秋不敢保我.txt:3-3	吴俊才先生现任中国国民党中央委员会副秘书长，住在普通公寓里，很穷；我现坐“党外人士”冷板凳第一把交椅，住在吴老师家前面豪华大厦里，很阔。我因为经年累月不下楼，大隐于市；又因为水深浪阔，不愿给吴老师不方便，所以一直疏于礼数，不去看他。去年他礼贤下士，大驾光临，我说：“古人‘天涯若比邻’，老师和我，却‘比邻若天涯’！”吴老师太熟悉我那一套，他不见怪。
005.由不自由的自由到自由的不自由.txt	19	后代子孙很难相信这世界上曾经走过这样一位血肉之躯。	LAYTAS-050	李敖议坛哀思录	132.摸屁股送客.txt:17-17	甘地有着伟大的精神力量，爱因斯坦说：“后代子孙很难相信这世界上曾经走过这样一位血肉之躯”。（Generations to come will scarce belive that such a one as thisever in flesh and blood walked upon this earth.）这是对甘地最高明的描绘。甘地思想的精华是他的“不合作主义”（satyagraha），不合作主义的形成，部份来自《湖滨散记》的作者梭罗。梭罗坐牢的时候，他说他“从不曾想到我是给关起来了，高墙实在等于浪费材料。……他们根本不知道如何对付我。……他们总以为我唯一目的是想站到墙外面。每在我沉思的时候，看守那种紧张样子，真教人好笑。他们哪里知道才一转身，我就毫无阻挡的跟着出去了。……”
005.由不自由的自由到自由的不自由.txt	19	后代子孙很难相信这世界上曾经走过这样一位血肉之躯。	LAFLZ-004	李敖风流自传	006.人——曾经走过这样一位血肉之躯.txt:3-3	甘地有着伟大的精神力量，爱因斯坦说：“后代子孙很难相信这世界上曾经走过这样一位血肉之躯”。（Generations to come will scarce belive that such a one as thisever in flesh and blood walked upon this earth.）这是对甘地最高明的描绘。甘地思想的精华是他的“不合作主义”（satyagraha），不合作主义的形成，部份来自《湖滨散记》的作者梭罗。梭罗坐牢的时候，他说他“从不曾想到我是给关起来了，高墙实在等于浪费材料。……他们根本不知道如何对付我。……他们总以为我唯一目的是想站到墙外面。每在我沉思的时候，看守那种紧张样子，真教人好笑。他们哪里知道才一转身，我就毫无阻挡的跟着出去了。……”
008.床上功夫.txt	39	瞻之在前，忽焉在后	LAKYEC-001	李敖快意恩仇录	001.瞻之在前，忽焉在后（何飞鹏）.txt:11-11	胡床刚到中国的时候，老祖宗正坐床上，看到能容纳屁股的，都叫做床，所以把胡椅叫做胡床。后来弄明白了不是床，又忌讳有“胡”（外国）的字样，于是又不胡又不床，变成了椅子。但不论怎么变，中国人在椅子上，上了洋鬼子一个大当：老夫子把钢笔推开，用毛笔大谈西方文化要不得，不知道西方文化正藏在他屁股底下，他整个屁股正在全盘西化——西方文化“瞻之在前，忽焉在后”，可真把人忙得“席不暇暖”了！
008.床上功夫.txt	39	瞻之在前，忽焉在后	LAYTAS-008	李敖议坛哀思录	005.为何起了怪书名？.txt:3-3	胡床刚到中国的时候，老祖宗正坐床上，看到能容纳屁股的，都叫做床，所以把胡椅叫做胡床。后来弄明白了不是床，又忌讳有“胡”（外国）的字样，于是又不胡又不床，变成了椅子。但不论怎么变，中国人在椅子上，上了洋鬼子一个大当：老夫子把钢笔推开，用毛笔大谈西方文化要不得，不知道西方文化正藏在他屁股底下，他整个屁股正在全盘西化——西方文化“瞻之在前，忽焉在后”，可真把人忙得“席不暇暖”了！
008.床上功夫.txt	39	瞻之在前，忽焉在后	LAFLZ-067	李敖风流自传	336.居浩然才气无双.txt:5-5	胡床刚到中国的时候，老祖宗正坐床上，看到能容纳屁股的，都叫做床，所以把胡椅叫做胡床。后来弄明白了不是床，又忌讳有“胡”（外国）的字样，于是又不胡又不床，变成了椅子。但不论怎么变，中国人在椅子上，上了洋鬼子一个大当：老夫子把钢笔推开，用毛笔大谈西方文化要不得，不知道西方文化正藏在他屁股底下，他整个屁股正在全盘西化——西方文化“瞻之在前，忽焉在后”，可真把人忙得“席不暇暖”了！
009.论和尚吃肉.txt	31	盗亦有道	LADXT-038	独白下的传统	011.家族——人愈多愈好.txt:99-99	梁武帝以后一千一百年，明朝不行了。张献忠“屠戮生民，所过郡县，靡有孑遗”。有一天，他的部下李定国（有的记录说是张献忠本人）见到破山和尚，破山和尚为民请命，要求别再屠城。李定国叫人堆出羊肉、猪肉、狗肉，对破山说：“你和尚吃这些，我就封刀！”破山说：“老僧为百万生灵，何惜如来一戒！”就立刻吃给他看，李定国盗亦有道，只好封刀。
010.写在居浩然《义和团思想和文化沙文主义》的后面.txt	9	乘桴浮于海	LACTDB-025	传统下的独白	006.假如我是女人.txt:51-51	残忍的居浩然，在台湾被更残忍的李济等学阀们排挤后，走投无路，只好学孔丘，“乘桴浮于海”了。从他者，其太太欤？其聪明儿子欤？其漂亮女儿欤？其日本算盘欤？都有。反正，他们举家南迁了，南迁至英国鬼子统治下的澳洲。他临走前，我们一起吃饭，酒过十三巡，他说我醉了，我看他的脸也模糊了，他说：“台湾的学阀们不让我活，我只好‘乘桴浮于海’了，你的朋友，我的朋友，我们一个个都走了，留下了你一个人去做‘姜维’吧！”就这样的，我眼睁睁的看着居浩然的飞机凌云而起，就好像他从东洋计算器上凌云而起一样。
010.写在居浩然《义和团思想和文化沙文主义》的后面.txt	57	行有余力，则以学文	LAZHYH-040	李敖自传与回忆	005.“北土非吾愿，东林怀我师”.txt:357-357	中国的文化遗产里除开大学问以外原也有火药、指南针、算盘等前科学的Prescientific技术知识，但这些在整个中国文化中都无足轻重。有人以为技术知识的不发达表示我们祖先伟大而子孙不肖实乃皮相之谈。子孙所以不研究奇技淫巧百分之百地遵照祖先的指示，我们可以说是太肖而不是不肖。《论语》里说得很清楚：“行有余力，则以学文”，做人已经任重道远，能有余力学文的自属少数。所以四库全书里做人的部分——经、史、子——占四分之三，学“文”的部分——集——只占四分之一。舍此而外都是奇技淫巧（子部中可找到一些痕迹），只有小人才动脑筋去学习，十有五而志于学的君子或君子候选人绝不做此打算。过去中国没有科学，并不表示我们没有学问，现在我们开始学习西洋的科学知识，又不必从“中国也有科学论”出发。一切近乎初民社会中魔术的前科学的技术知识，有这么一点也不足以自傲，不如索性承认没有，才能遵照国父孙中山先生的指示，迎头赶上西洋文化。（《十论》516页）
010.写在居浩然《义和团思想和文化沙文主义》的后面.txt	57	行有余力则以学文	LAZHYH-048	李敖自传与回忆	006.提升文星的一个回忆.txt:5-5	中国的文化遗产里除开大学问以外原也有火药、指南针、算盘等前科学的Prescientific技术知识，但这些在整个中国文化中都无足轻重。有人以为技术知识的不发达表示我们祖先伟大而子孙不肖实乃皮相之谈。子孙所以不研究奇技淫巧百分之百地遵照祖先的指示，我们可以说是太肖而不是不肖。《论语》里说得很清楚：“行有余力，则以学文”，做人已经任重道远，能有余力学文的自属少数。所以四库全书里做人的部分——经、史、子——占四分之三，学“文”的部分——集——只占四分之一。舍此而外都是奇技淫巧（子部中可找到一些痕迹），只有小人才动脑筋去学习，十有五而志于学的君子或君子候选人绝不做此打算。过去中国没有科学，并不表示我们没有学问，现在我们开始学习西洋的科学知识，又不必从“中国也有科学论”出发。一切近乎初民社会中魔术的前科学的技术知识，有这么一点也不足以自傲，不如索性承认没有，才能遵照国父孙中山先生的指示，迎头赶上西洋文化。（《十论》516页）
