file	line	quoteText	markers	political	previous	context	next
001.“白色恐怖”的一些特色.txt	1	白色恐怖		political-context		“白色恐怖”的一些特色	
001.“白色恐怖”的一些特色.txt	3	满州国		political-context		中国末代皇帝溥仪的“满州国”国务总理郑孝胥，书法春云、头脑冬烘，他有冬烘妙论说：我们中国别怕向洋鬼子借钱，一旦把洋鬼子的钱借光了，洋人不就穷了、中国不就阔了吗？——这种妙论，可叫做“把洋鬼子借光论”。	
001.“白色恐怖”的一些特色.txt	3	把洋鬼子借光论		political-context		中国末代皇帝溥仪的“满州国”国务总理郑孝胥，书法春云、头脑冬烘，他有冬烘妙论说：我们中国别怕向洋鬼子借钱，一旦把洋鬼子的钱借光了，洋人不就穷了、中国不就阔了吗？——这种妙论，可叫做“把洋鬼子借光论”。	
001.“白色恐怖”的一些特色.txt	5	杀		political-context		郑孝胥的头脑，有中国国民党师承之。此国民党非他，蒋介石也。蒋介石对付共产党，“杀”字出口而已矣，一旦把共产党杀光了，共产党不就没命、国民党不就万岁了吗？——这种妙论，可叫做“把共产党杀光论”。	
001.“白色恐怖”的一些特色.txt	5	把共产党杀光论		political-context		郑孝胥的头脑，有中国国民党师承之。此国民党非他，蒋介石也。蒋介石对付共产党，“杀”字出口而已矣，一旦把共产党杀光了，共产党不就没命、国民党不就万岁了吗？——这种妙论，可叫做“把共产党杀光论”。	
001.“白色恐怖”的一些特色.txt	7	杀人如草不闻声	poem	political-context		于是，国民党就大杀特杀起来，杀得共产党头子瞿秋白以“杀人如草不闻声”写之。“杀人如草不闻声”是明朝人的诗句，不看《明史》的人不会熟知，瞿秋白道听途说引证之，却横尸法场人证之——也给杀了。他的爱人杨之华在《回忆秋白》里写道：	
001.“白色恐怖”的一些特色.txt	7	杀人如草不闻声	poem	political-context		于是，国民党就大杀特杀起来，杀得共产党头子瞿秋白以“杀人如草不闻声”写之。“杀人如草不闻声”是明朝人的诗句，不看《明史》的人不会熟知，瞿秋白道听途说引证之，却横尸法场人证之——也给杀了。他的爱人杨之华在《回忆秋白》里写道：	
001.“白色恐怖”的一些特色.txt	7	明史	poem	political-context		于是，国民党就大杀特杀起来，杀得共产党头子瞿秋白以“杀人如草不闻声”写之。“杀人如草不闻声”是明朝人的诗句，不看《明史》的人不会熟知，瞿秋白道听途说引证之，却横尸法场人证之——也给杀了。他的爱人杨之华在《回忆秋白》里写道：	
001.“白色恐怖”的一些特色.txt	7	回忆秋白	poem	political-context		于是，国民党就大杀特杀起来，杀得共产党头子瞿秋白以“杀人如草不闻声”写之。“杀人如草不闻声”是明朝人的诗句，不看《明史》的人不会熟知，瞿秋白道听途说引证之，却横尸法场人证之——也给杀了。他的爱人杨之华在《回忆秋白》里写道：	
001.“白色恐怖”的一些特色.txt	9	杀尽了共产党，‘革命		political-context		1935年6月18日上午8时，秋白被押到长汀中山公园中山亭。秋白在就刑餐时，悠然独酌。敌人得意地说：“杀尽了共产党，‘革命’便可成功了。”秋白含笑地回答道：“共产党人是杀不尽的。没有共产党，革命是不会成功的！”	
001.“白色恐怖”的一些特色.txt	9	共产党人是杀不尽的。没有共产党，革命是不会成功的！		political-context		1935年6月18日上午8时，秋白被押到长汀中山公园中山亭。秋白在就刑餐时，悠然独酌。敌人得意地说：“杀尽了共产党，‘革命’便可成功了。”秋白含笑地回答道：“共产党人是杀不尽的。没有共产党，革命是不会成功的！”	
001.“白色恐怖”的一些特色.txt	11	鹰犬将军		political-context		为了对照一下史料，我们看看当时执行枪决的国民党军头——宋希濂在《鹰犬将军》中的回忆：	
001.“白色恐怖”的一些特色.txt	13	限即刻到		political-context		1935年6月17日，我先后接到蒋介石和蒋鼎文均是“限即刻到”的电令：“着将瞿秋白就地处决具报。”当天晚上我和向贤矩及政训处长蒋先启、特务连长余冰研究了执行这个命令的具体措施。商定：6月18日上午10时在中山公园枪决；在司令部通往中山公园的路上及中山公园的周围，均由警卫连严密警戒，禁止老百姓观看；18日晨早餐后，由向贤矩将蒋介石的电令交瞿秋白看；由蒋先启随伴瞿秋白前往中山公园，并负责监督执行。	
001.“白色恐怖”的一些特色.txt	13	着将瞿秋白就地处决具报。		political-context		1935年6月17日，我先后接到蒋介石和蒋鼎文均是“限即刻到”的电令：“着将瞿秋白就地处决具报。”当天晚上我和向贤矩及政训处长蒋先启、特务连长余冰研究了执行这个命令的具体措施。商定：6月18日上午10时在中山公园枪决；在司令部通往中山公园的路上及中山公园的周围，均由警卫连严密警戒，禁止老百姓观看；18日晨早餐后，由向贤矩将蒋介石的电令交瞿秋白看；由蒋先启随伴瞿秋白前往中山公园，并负责监督执行。	
001.“白色恐怖”的一些特色.txt	37	打倒国民党！		political-context		谁能想到，在瞿秋白被杀后十四年，执行枪决的宋希濂兵败被俘，下达命令的蒋介石、蒋鼎文逃亡台湾，瞿秋白临刑前“打倒国民党！”的预言声犹在耳，国民党被打倒的事实竟尔成真——“杀尽了共产党，‘革命’便可成功了。”国民党的好梦白做了，共产党没杀尽，反倒是国民党失败了。	
001.“白色恐怖”的一些特色.txt	37	杀尽了共产党，‘革命		political-context		谁能想到，在瞿秋白被杀后十四年，执行枪决的宋希濂兵败被俘，下达命令的蒋介石、蒋鼎文逃亡台湾，瞿秋白临刑前“打倒国民党！”的预言声犹在耳，国民党被打倒的事实竟尔成真——“杀尽了共产党，‘革命’便可成功了。”国民党的好梦白做了，共产党没杀尽，反倒是国民党失败了。	
001.“白色恐怖”的一些特色.txt	39	把共产党杀光论		political-context		国民党失败后，在台湾撑起小朝廷。蒋介石痛定思痛，痛恨“把共产党杀光论”未能彻底实行，以致“革命尚未成功”，因此在台湾重施故技，大杀特杀起来。不过，与在大陆不同的是，当年在大陆，由于大陆太大了，杀力分散，所以难竟杀功；如今在台湾就不同了，台湾只有大陆千分之三大，且地处海岛，四面是水，抓起人来，十分方便，正如元朝人曲中所描写的：“管教他瓮中捉鳖，手到拿来。”于是，共产党——尤其是假共产党——苦矣！	
001.“白色恐怖”的一些特色.txt	39	革命尚未成功		political-context		国民党失败后，在台湾撑起小朝廷。蒋介石痛定思痛，痛恨“把共产党杀光论”未能彻底实行，以致“革命尚未成功”，因此在台湾重施故技，大杀特杀起来。不过，与在大陆不同的是，当年在大陆，由于大陆太大了，杀力分散，所以难竟杀功；如今在台湾就不同了，台湾只有大陆千分之三大，且地处海岛，四面是水，抓起人来，十分方便，正如元朝人曲中所描写的：“管教他瓮中捉鳖，手到拿来。”于是，共产党——尤其是假共产党——苦矣！	
001.“白色恐怖”的一些特色.txt	39	管教他瓮中捉鳖，手到拿来。		political-context		国民党失败后，在台湾撑起小朝廷。蒋介石痛定思痛，痛恨“把共产党杀光论”未能彻底实行，以致“革命尚未成功”，因此在台湾重施故技，大杀特杀起来。不过，与在大陆不同的是，当年在大陆，由于大陆太大了，杀力分散，所以难竟杀功；如今在台湾就不同了，台湾只有大陆千分之三大，且地处海岛，四面是水，抓起人来，十分方便，正如元朝人曲中所描写的：“管教他瓮中捉鳖，手到拿来。”于是，共产党——尤其是假共产党——苦矣！	
001.“白色恐怖”的一些特色.txt	41	尤其		political-context		为什么特别“尤其”一下？先说一个故事。1972年3月，我在国民党黑狱——景美军法看守所放风时，碰到大国特范子文。范子文是调查局第一处处长，由于特务们内斗，被斗到牢里，还被诬为共产党。他气得要命，整天大发牢骚。他跟我说：“以我几十年抓共产党的经验，是不是共产党，我一‘闻’就知道！台湾国民党整天抓共产党，其实真的共产党，国民党根本抓不到，抓到的都是假的！”——这就是我写“尤其”的由来。由于国民党抓不到真共产党，只好抓假共产党交差、充数，所以，大抓特抓之下，假共产党苦矣！	
001.“白色恐怖”的一些特色.txt	41	以我几十年抓共产党的经验，是不是共产党，我一‘闻		political-context		为什么特别“尤其”一下？先说一个故事。1972年3月，我在国民党黑狱——景美军法看守所放风时，碰到大国特范子文。范子文是调查局第一处处长，由于特务们内斗，被斗到牢里，还被诬为共产党。他气得要命，整天大发牢骚。他跟我说：“以我几十年抓共产党的经验，是不是共产党，我一‘闻’就知道！台湾国民党整天抓共产党，其实真的共产党，国民党根本抓不到，抓到的都是假的！”——这就是我写“尤其”的由来。由于国民党抓不到真共产党，只好抓假共产党交差、充数，所以，大抓特抓之下，假共产党苦矣！	
001.“白色恐怖”的一些特色.txt	41	尤其		political-context		为什么特别“尤其”一下？先说一个故事。1972年3月，我在国民党黑狱——景美军法看守所放风时，碰到大国特范子文。范子文是调查局第一处处长，由于特务们内斗，被斗到牢里，还被诬为共产党。他气得要命，整天大发牢骚。他跟我说：“以我几十年抓共产党的经验，是不是共产党，我一‘闻’就知道！台湾国民党整天抓共产党，其实真的共产党，国民党根本抓不到，抓到的都是假的！”——这就是我写“尤其”的由来。由于国民党抓不到真共产党，只好抓假共产党交差、充数，所以，大抓特抓之下，假共产党苦矣！	
001.“白色恐怖”的一些特色.txt	43	虽在缧绁之中，非其罪也！		political-context		孔夫子说公冶长，说：“虽在缧绁之中，非其罪也！”“非其罪也”就是人虽坐牢，但却是冤枉的、罪名是假的。台湾的假共产党就是如此。他们或坐穿牢底、或横尸法场，与瞿秋白的被杀比起来，全部大异其趣了。若是瞿秋白这种真共产党被抓到，不论坐穿牢底还是横尸法场，其生也悲壮、其死也雄奇，生死线上，都得其正；但假共产党则反是，其生也冤哉，其死也枉也，窝窝囊囊，误了青春或送了性命，这样子的现代公冶长，岂不太荒谬了吗？	
