file	line	text
001.19910105《今夜星光》.txt	1	19910105《今夜星光》
001.19910105《今夜星光》.txt	23	李敖：本来500年的观念是中国很老的一个观念，因为旧式的一个观念，所以孔子开始就有这么一个观念。所以到了汉朝写《史记》的司马迁，他就有一个500年的观念，他说500年就轮到他了。所以我的意思这样轮来轮去，现在轮到我了。
001.19910105《今夜星光》.txt	53	赵宁：不好吃。不好意思，我小的时候，方芳芳更小的时候，我们知道你《传统下的独白》震惊了思想界和文坛，后来你又写《独白下的传统》，从《传统下的独白》到《独白下的传统》，李敖这个人有没有什么大的改变？
002.1997《台北ZOO》.txt	1	1997《台北ZOO》
002.1997《台北ZOO》.txt	5	侯文咏：我那天看到齐白石有一幅画，它上面就画了一个人。那上面写的叫做：人骂我，我亦骂人。我看到那个，不晓得为什么我第一个，因为那个人其实很悠哉。可是我看那句话对白，我第一个想到的就是李敖老师。那李敖老师在我们这个时代里面一直坚持到现在，李敖老师62岁的时候出《李敖回忆录》，那可以说是一个非常典型，我就是站在那里永远不改这个个性，甚至李敖老师在回忆录后面讲说善霸，就是我们说恶霸，但是这个善人，您竟然也要做到善霸。那这个我们不太清楚，因为中国历史从小就教我们要这个温良恭俭让。那李敖老师可以说是不温、不良、不恭、不俭、不让。那是为什么是这样子一辈子的，这样子的整个思考价值？这样子的想法对老师是怎么形成的？
002.1997《台北ZOO》.txt	19	李敖：这就好像说那个《新约》里面耶稣所讲的，像这种《圣经》里面的话，我就是第一个，我最后一个，他们常常有这种口气的；那个孟子讲天下舍我其谁这种句子。我想这种有信心的人，有过分自信的人，当然包括自大狂的人，他们常常有这种感觉，觉得就是舍我其谁，除了我以外还有谁？所以这样子这种思路演变下去，自我陶醉的结果就会发生第一的这种现象。问题就是我把第二、第三也包了，问题在这个里，严重在这里。
002.1997《台北ZOO》.txt	27	李敖：大家从世俗的标准来看，当然吃过很多亏，至少牢都坐过两次。不过我的看法就是说这是我们一个年轻时代的选择。我觉得我在北京念小学的时候，我就做了这个选择，我觉得我这一辈子我的志愿就是将来能够写我自己所相信的，真的相信的，然后作为一个用文字能够影响别人的一个人。这根本就是我的志愿，这个志愿到了台湾以后开始逐步的在兑现，我觉得没有什么怨，可以无怨无悔了，可以做到这一点。事实上，如果你看我的《李敖回忆录》也说得很清楚，如果时光倒流，儿时可在，我重新活一遍的时候，我大部分还是这样子活法的。当然你会遭遇到很多的挫折，所以你看我的《李敖回忆录》有一个特色，我从来不鼓励别人去学我，或者去做一个叛徒，因为那个代价是很大的，尤其你被关在牢里，你面对四面很高的墙的时候，你才知道一天过得多么慢，那个痛苦不是一般人所能够接受得了的。
002.1997《台北ZOO》.txt	31	李敖：可能过去北京城的那个文化气氛影响到我，我从小就有一个喜欢看书的习惯，可能受了我父亲一点点影响。我父亲是国立北京大学中国文学系，当时叫国文学系毕业的。我可能受了他一点影响，所以喜欢看书，从小就养成看书的习惯。并且那时候所谓看书是看课外书，因为课内书不像台湾这个学校里面给年轻人这么大的压力，所以我们大部分时间都在看课外书，看很多的课外书，很多的课外杂书，等于天文地理，无一不通；三教九流，无所不晓，就变成一种想做百科全书式的学者。这种百科全书式的学者，直到我这个坐牢以后才开始放弃这个念头。换句话说，我是到差不多你这个年纪，三十五六岁的时候才放弃这个念头，我坐牢的时候还看一本《空气动力学》。
002.1997《台北ZOO》.txt	35	李敖：看不懂，后来我这个好朋友，我们同班同学还送了我一本《计量经济学》，也是看不懂，因为数学不好。所以我的意思，凡是我能够看得懂的书无所不看。大家很奇怪，你看这么多乱看吗？也不是乱看，就是因为烂书也可以得到一种反面的效果，共产党所说的反面教材也可以得到。所以宋朝的皇帝说开卷有益，什么意思？就是这本书可能对你有害的，可是你发现它这个害也是一个例子可以举出来的时候，那表示对你也是一种益处。所以我的意思我从小就看到这些书，一直是这样子成长过来的。
002.1997《台北ZOO》.txt	79	侯文咏：是一个强大的力量。其实你如果看到这本《李敖回忆录》，我看到越后面越精彩，特别是写到后面李敖来看自己这一生的时候，其实还不到一生了，62岁非常年轻。
002.1997《台北ZOO》.txt	85	李敖：一点都不错。我觉得美国人很粗浅，可是我很喜欢美国人那个性格，美国人比较幽默，在全世界里面它比较有幽默感的一个民族。我觉得幽默是代表一个人很宽的心胸，并且有应付那个困难的能力。因为困难已经很糟糕了，环境使你很困难。如果你在精神上面再苦恼你自己，这就加倍的困难。所以我才讲，人家说福无双至，祸不单行。为什么不单行呢？因为外面你遭遇一个祸事以后，你自己又奉送一个，自己给自己苦恼。所以这一点一定要使它单行，自己要使自己精神上能够开朗下来，这一点是很重要的，而这个最好的方法就是寻开心，寻别人开心或者寻自己开心，这是所谓的这个幽默感。我书里面讲的故事我再给你谈一下，当时我被警备总部抓到，然后给我刑求，在我的右手手指中插了三支原子笔，然后用我左手抓住我的右手，然后从他们从外面捏我的左手，他们讲幽默的话：李先生，你不要怪我们，不是我们使你疼，是你的左手使你的右手疼，你要怪你的右手。那么我那时候疼的不得了，因为那个拶指是很疼的一个心法。那我就说，我也不怪我右手。他说怪什么？我说怪原子笔。
002.1997《台北ZOO》.txt	91	侯文咏：不过在那七年里面，我觉得有些事让我觉得很深刻，因为我觉得不是那么好过日子的，特别那个地方那么的小。那老师甚至是说有提到一段，就说那个时候新闻都不能看了，连《中央日报》这种党报都不能看了。然后得靠这个新关进来的人来传递消息，那甚至说学一首新的歌都学的乱七八糟的。然后要等新的人进来看看外面现在流行什么歌才学那些歌。那我常常觉得说如果叫我去坐牢7年，我是可以熬，但是没有书看，这件事对我是很痛苦的事，没有一些新的，然后就整天坐在那个地方。那老师当然后面又写了很多坐牢的结论。可是我还是觉得没有那么简单，就是每天这样过，你怎么会让自己支撑下去，而且你一点都没有改过新。说出来了，因为你以前写过，就是讲张学良的时候，你常常讲说人到最后会向统治者认同。那出来以后你就认为这个统治者是很伟大，然后你会认同他。那你怎么跟人家不一样呢？你出来都没有去认同。
002.1997《台北ZOO》.txt	101	李敖：是，并且活得很好很重要的。原因就是同样的一段时间你怎么样面对？我常常喜欢讲的一个故事，就一个老祖母，她的孙女死掉了。孙女死之后，她的反应不是很难过的样子。大家就很奇怪，就问她说：老太太，孙女死了。那她说：是死了。奇怪的说：老太太想得开。她说：我告诉你们为什么想得开？我已经很老了，我的未来指日可数了，并且什么时候死都不知道了。她说我每一个小时都要珍惜她，因为我随时可能就没有了。但是这一小时我去怀念我死掉的孙女我就哭哭啼啼，我就没有时间去回想当时我跟她在一起那个快乐，我们祖孙二人一起去买冰棒，吃冰棒牵着手捉迷藏，我们没有这种快乐，这种愉快我都忘记了，我都不能去回想了。现在我用余生惨余的时间尽量去回想我跟我的小孙女我们快乐的时光，那这样的话我就自然不会花同样一小时去被悲哀了。同样你只有一个小时，你为什么选择一个悲哀呢？你可以选择那个快乐嘛！就好像我们看英国的诗人华兹华斯那个诗，一个小女孩子，她在她哥哥姐姐坟旁边跑来跑去。那么诗人就问她，你们几个兄弟姐妹？她说我们七个。那诗人说不对，你姐姐死了，你哥哥死了，怎么还有七个呢？她说七个。懂我意思吧？对这小女孩子而言，她的标准计算方法不是按生死来算的，死了也算，虽死犹生。看起来是小女孩子，其实她是个哲学家。你看到没有？真正的哲学家都不一定比她有更好的排除苦恼的这个因素。所以我认为一个人在艰苦困难的时候能够把这个化险为夷，并且化这个悲愤为力量，化眼泪为笑容，这是很高的一个境界，这个境界就值得我们鼓励的。
002.1997《台北ZOO》.txt	105	李敖：重要的就是给大家一个证据，就是这次我特别你帮忙推荐大家看这个《李敖回忆录》，这个书现在已经卖了35000本了，推荐这个书大家看看，就是一个没有力量的人，他本身没有力量，他是很穷的一个小男孩子，14岁到了台湾，并且他还没有得到地缘的关系，因为他不是台湾人，又得不到政治上的奥援，因为他父亲不是国民党，诸如此类。在这个情况下他经过自己的奋斗，也经过他努力，到今天他可以完全变成他自己，他要自己怎么样做一个人，他就变成怎么样一个人，这一点我觉得我是台湾最快乐的一个人，原因就是说我不需要做假，也不需要说谎话，也不需要靠别人吃饭，我不需要看老板脸色，这才代表一个真正的自由。一般的人做不了这么多，一般人他相当的两重人格或者三重人格，这是一般人的苦恼，我想我已经脱离了这个苦恼。
002.1997《台北ZOO》.txt	109	李敖：别人看我这个《李敖回忆录》，就告诉说你可能会做到，你可能是李敖第二，虽然我没有鼓励他。不过我的意思，大家可以考虑过一个自己要过的生活。
002.1997《台北ZOO》.txt	125	李敖：肯定就只有她跟我知道，天知地知，你知我知，别人并不晓得这个女的是谁，知道也无所谓了，因为她已经60岁了，好比说她已经58了，对她而言是上古史，没关系的。
002.1997《台北ZOO》.txt	159	侯文咏：先骂再说。但是我今天看到这个《李敖回忆录》，我觉得很公平，就说这个李老师看自己其实也是这样子看的，就是也敢骂自己，也敢消遣自己，也敢这样子看自己，好的坏的都可以看，那么你讲别人的时候是不行的。那所以总结回来，我常常就想说，李敖老师甚至在看台湾这段历史也是很看不起的，就是说就怕李敖这一生就是做了这么多事，在台湾就不见了，或是在台湾就随着这个小小的岛就不见了，对台湾这个岛而言就是一个小格局的地方，所以你这一辈子很多的时间就嘻嘻哈哈的就这样过。可是人生其实就这么短嘛，你就只能活在这个地方，那这里有很大的矛盾，我不太能够理解。你既然是不太很看得中这个小小的地方，那也觉得这个地方嘻嘻哈哈就可以应付。可是真的叫你走，你又不肯走。那这到底是赖皮，或是你别有你的心情，或者你真的对这个地方有你另外的期许。因为美国为什么不去呢？如果可以拿到护照的话，那如果看不起这个，那个地方也许可以做出更不同的功业。
002.1997《台北ZOO》.txt	181	李敖：所以现在我开始传授，所以我这个书在卖出来，大家赶紧买一点书来看，《李敖回忆录》、《李敖回忆录》、《李敖回忆录》。
002.1997《台北ZOO》.txt	183	侯文咏：哈哈！竟然得到这个下场跟结局。不过《李敖回忆录》这个侯大哥觉得是一个很好的书，那侯大哥也真的是看得津津有味。因为以前这个余秋雨老师来说他讲一个事，他说有时候看一个文化人的书，《李敖大全集》我想对我们小朋友来讲实在是太大一套了。那如果是没有时间就看这一本，因为他是看一个文化人处在一个当代。那因为我觉得李敖老师就不管你同意或者是不同意，他在当代是很特别的一个特例，那从这个人跟这个环境的整个互动，那从这个书来看真的是很精彩的一个事情。不过我们听众很多都是年轻人，刚刚你也提到说可以当李敖第二，我也说过要付出代价。现在的年轻人普遍老是要看这个局势，有时候看好看坏还搞不清楚，就说那如果我现在是很年轻的，假如说我现在读国中、读高中、读大学，重走一次或者老师来看，把他们当做是自己的孩子，你会给他们什么样子的？告诉他我走这些路，不管是很艰苦。那现在你在长大，有什么事孩子你是要注意的，或说你要怎么样才能变强者？你应该怎么样？
002.1997《台北ZOO》.txt	185	李敖：第一个，就是提醒年轻的朋友，你们别以为你们是个反叛的青年，别以为你们自己很了不起，事实上你们现在所想的、所做的，你们的一举手一投足，都是受了这个社会环境所带给你们的想法。所以你们事实上等于如来佛一样，你孙悟空是在我如来佛的掌心里面。所以我的意思，你们第一个先要有这种觉悟跟这种觉醒，知道你们错了，过去走的路都是错的，你们现在开始尝试走一条新的路。换句话说你要有取得一个新的智慧、新的角度、新的观点，所以你就看我的书，尤其现在看《李敖回忆录》，你会取得这种角度、智慧观点，这是很重要的一个起点。没有这个起点，不管你年纪多大或者年纪多小，你是个混蛋，你是个糊涂人。你现在不觉得你是糊涂人，可是有一个人告诉你你是糊涂人。所以这时候你要觉悟怎么样去不做一个糊涂人。那你会说你李敖指挥我们的话，你怎么就证明你是真理？看看嘛！你看书比较比较看嘛！你拿出李敖的书，拿出琼瑶的书，拿出三毛的书，你比比看嘛！哪一个是真正的深刻的直指本心，使你觉得内心的觉悟，你一看就知道了。所以我认为就是我给年轻人的一个劝告，就是说别以为你们现在很了不起，别以为你们知道一切，你们都走了错路了，走正确的路赶紧回头来看《李敖回忆录》、《李敖回忆录》、《李敖回忆录》。
003.1997《真情指数》.txt	1	1997《真情指数》
003.1997《真情指数》.txt	3	蔡康永：我们在看到李敖先生非常非常简单的一个介绍。今天李敖先生来到我们真情指数的现场，他最近出版了这本《李敖回忆录》，在书里面提到了很多事情。当然一本他一向的这种自以为是的唯我独尊的作风，把别人讲得非常不堪，他自己非常的完美。今天他在真情指数里面到底是不是会改变一下，提到一些对个人比较脆弱的部分，我实在是非常难以想象。比方说像书里面有提到你父亲李鼎彝先生的时候，从中国大陆来台湾的时候，是为了怕国民党又再一次栽诬他是汉奸才过来的。可是我在书里面看到一个语气，就说那时候你14岁不到，所以你没有办法替自己的未来坐决定，只好跟在家里面迁移过来。这个话背后的意思是不是如果由你来决定的话，你就选择不过来了？
003.1997《真情指数》.txt	83	蔡康永：哈哈哈，你真是哪壶不开提哪壶。可是我们看到是在牢里的时候有出一本书，这个书后来集成了《坐牢家爸爸给女儿的八十封信》。这书里面大部分其实是在讲解英文，所以很多人希望在里面看到一个温柔慈祥的父亲角色，可是看到是一个担任英文的人的角色。这是怎么回事？
003.1997《真情指数》.txt	185	李敖：有疙瘩，我跟我妈妈抗议，我妈妈说：老人何辜啊！她没有责任，哈哈！
003.1997《真情指数》.txt	381	李敖：自己自律，自己不要乱打，有些人打太多了，过度了或者忘记了都不可以，过犹不及，所以才规定自己。你看我这日记里面的特色就是拼命的在自律，拼命给自己的做各种约定规定，把自己锻炼成一个像苏联一本小说《钢铁是怎样炼成的》，我把自己锻炼成钢铁。当然有的地方会有失败，也不完全成功。
003.1997《真情指数》.txt	461	李敖：就是一个老祖母，她的孙女死掉了。死掉之后，大家发现她没有那么悲伤，大家问她：为什么你没有很悲伤？老祖母说：我已经老了，我随时会死了，我活的日子指日可数。我同样一个小时用来哭，又来想我的孙女我痛苦，同样的一个小时，我就不能快乐，就不能回忆我过去跟她的快乐时光。所以我拒绝去痛苦，拒绝去哭，而用一个小时去回想当年我跟我的小孙女如何捉迷藏，如何在树下捉蝴蝶。所以同样的时间，我们可以做一个所谓积极的、快乐的、光明的这一面运用，而不一定是用悲情的方法来处理它。我个人也这样子，我觉得人生对我而言越来越老了，我的余生、我的精力越来越有限。所以我希望能做到最该做的事情，不该做的事情最好少做或者不要做，虽然也不能避免，希望能尽量减少。
004.1998《关于男人》.txt	1	1998《关于男人》
004.1998《关于男人》.txt	33	周玉蔻：李大哥，我们在你的《李敖回忆录》这本书里面非常丰富的人生经验，可是你里面有很多都是跟女性接触的经验，还非常坦白的描述。那你年龄的增长会影响你性的需求吗？或者是不同时代有不同时代的对于性的要求。
004.1998《关于男人》.txt	51	李敖：我跟我的老同学们当然偶尔也谈到这个问题，不过比较少了。我看到的例子好像都是从书里面看到的，好比说法国很有名的一个文学家，写《悲惨世界》的雨果，他每一夜都要好多次的。像以前中国清朝的一个名将叫鲍超，也是每天晚上都要好多次的。这种人恐怕他们有特异的性能力，可能属于这一类的。
004.1998《关于男人》.txt	71	李敖：问题我没有换，你懂我意思吗？可是我发现遭遇到困难，就是觉得新鲜对我非常重要的感觉。可是现在因为我结婚就没有这种事情。我对妓女我讲过，你看我的《李敖回忆录》，一生只有5次的嫖妓经验，该死的陈艾妮还嫌少。她嫌什么少？我讲50次也没什么了不起，可是没有这个事情，为什么要吹牛呢？
004.1998《关于男人》.txt	81	周玉蔻：欢迎您回到关于男人，我们今天的特别来宾是李敖李大哥。《李敖回忆录》里面其实透露很多他在跟女性相处性方面的一些记录，你可以回去看。但是我们现在吴医生在，李大哥……
004.1998《关于男人》.txt	105	吴季如：我想基本上人老要知道自己老，要服老。那么所谓的服老，就是你不要期待你现在已经60岁了，你还希望你20岁的时候，你可以做一个半小时，可以做两个小时，对不对？我是觉得同样是在吃苹果，你喝一喝苹果汁跟啃一啃苹果，我想效果是一样的。
004.1998《关于男人》.txt	141	周玉蔻：我刚才在节目休息之前问到您，您说用长短的时间，或是用有没有实际的射精好像是不对。还有女人老了以后，她停经之后，她在性生活里面怎么会有快感，有没有所谓的高潮？
005.1999《关于男人》.txt	1	1999《关于男人》
005.1999《关于男人》.txt	81	李敖：我先讲我一个经验，我坐牢的时候，那时候不能看报纸，结果来了很多小流氓，他们整天唱歌，唱着刘家昌《往事只能回味》。听到他们唱最后一句原文是只好在梦里相依偎，我听错了，我听的是：只好另外找一位。后来我发现这才真的是面对失恋的方法。过去方法都是失恋以后拼命写日记，勉励自己，或者包括你所谓的撕照片忘掉他，这是错误的。就好像你拼命想吃这个苹果吃不到，你怎么样描写这个苹果都是错误的。你赶紧去吃个香蕉，赶紧去找香蕉。
005.1999《关于男人》.txt	175	周玉蔻：可是我觉得，李大哥今天在台湾现代社会里，非常多教育水准非常高的女性，其实大部分的人都跟她是一样的，她在爱情里面，她还是走不出传统的所谓藩篱，那是因为男生形成的。因为我觉得在台湾社会里面还是一个大男人的社会，你谈恋爱的时候，你还是一个大男人对不对？你刚才多高姿态，又要备胎又要干嘛的。你谈恋爱有没有几个实例告诉我们，女生是怎么跟您相处的？
005.1999《关于男人》.txt	243	周玉蔻：我讲的是好几个，像《美丽佳人》杂志上。
006.1999《美国之音》.txt	1	1999《美国之音》
006.1999《美国之音》.txt	11	汤：李敖先生您好！您作为一个非常著名的作家，我觉得您带着强烈地自由思想家和独立地知识分子的使命感。参加台湾总统大选，而且以批判的精神来对待其它的参选人。您有两句话，令海内外的华人听众印象非常深刻。第一您说：洗你的（台湾民众的）脑子。您能不能向听众朋友详细介绍一下，这句话的含义。
006.1999《美国之音》.txt	23	汤：您是中国历史上第一个知识分子参加总统大选，这么一个非常有魄力，非常有前瞻性的著名的作家。很多朋友听到您要参选，用三个字说“好痛快”！那为什么，您老是调侃自己说“我来台五十年，是李敖祸台五十年”？
006.1999《美国之音》.txt	47	汤：最近，陈文茜很遗憾地带着一种比较讪讪的心情说：“阿呀，还说李敖一定会跟我坚持到底（作搭档竞选总统），没想到李敖选了冯沪祥作副总统候选人。”那陈文茜在那一厢恭候您很久，您却没有挑重她。当然她是朋友的也是一种调侃的语气，那您为什么让陈文茜失望了呢？
006.1999《美国之音》.txt	49	李：这是开玩笑的话。陈文茜本身对这看穿了，我也常常讲，当年林肯的故事。人家说，林肯为了打败消灭他的敌人而奋斗，后来发现他跟他的敌人好起来还拉着手，人家说，你不是要消灭你的敌人吗？林肯说：我已经消灭他啦，他现在已经不是我的敌人，他变成我的朋友啦。这是我常常讲的一个故事，就是说，这些人不是敌人嘛。
006.1999《美国之音》.txt	81	李：第一个就是可行的，有这个可行性，这一点最重要。所谓可行性，就是说，你台湾跟大陆两个方法，一个就是打起来；一个就是和谈，好好坐下来谈。你说，可以。如果我们不打不合维持现状，维持着，维持五十年。可是，现在维持不下去了。因为现状被破坏了，一个就是共产党要把它（台湾）收回，第二个有批人要搞台独，第三个很多台商跑到大陆去了。上海就有二十万台商，干什么？他们就是要做生意。他们把现状破坏了，所以不能维持现状了。不能维持现状就要好好地坐下来谈，谈的话呢，你必须说跟人家有一个共同谈的基础，你不能这边汪道涵要过来了，你忽然说我把你分成七块，变成七块论。把你分成两国，成为两国论。你这一出来，他不来了嘛。所以你看陈水扁写了一大本《中国问题白皮书》，没有可行性，因为第一页就讲我跟你是两个不同的国家，那他理都不要理你了，他不跟你谈嘛。所以我认为台湾这个政治见解很幼稚，就是自己在那里自说自话，讲了半天，人家根本就不理你。所以要谈，就要在共同的基础上谈，就是我所说的，我赞成“一国两制”。因为“一国两制”是你们提出来的标准，我跟你谈没关系，坐下来谈，在谈判桌上看本领、看谁能占到偏宜。所以我这个政策是可行的，他们那个政策不可行，讲的天花乱坠都不可行。
006.1999《美国之音》.txt	85	李：这就是基于他的一个基本的设定，基本的设定就是，他认为他可以靠着美国人自己可以关起门作皇帝，孤岛称王，何况他本身还有日本的情结。事实上他们并不了解这一点，所以关于他们选什么总统，我在这里讲，我在台湾不是选什么总统，台湾不是一个国，所以他的总统两个字，也不是政治学上定义的总统。我的解释是说，我在选中国台湾地区的领导人。我在选这个玩意儿。我定位的很清楚，我这边写了一篇文章，叫作《民国定义和总统定义》，发表在香港的《明报》月刊上。首先声明我参选的不是总统，你们不要搞错。他们以为选的是总统，你又不是一个国家，你选个屁总统啊。我觉得，我在台湾制造的功能就是让这种声音正确地勇敢地能够讲出来，这是任何人做不到的，而我可以。这是我目前最特殊的地方。这样，别人还说，算了，让他讲吧。如果是别人讲了，还得了。一个外省人在台湾，你讲这种话，他立刻给你戴帽子。他们不敢给我戴帽子。
006.1999《美国之音》.txt	129	李：我讲过，台湾人民最大的意愿是什么呢？台湾要进联合国，现在台湾每年都花钱要进联合国。那谈判时可以提出来嘛，联合国大使给让台湾人来作，都可以提出要求。按照邓小平的说法，一国两制（在台湾问题上）成功之后，大陆人不到台湾来作官，可是台湾人可以到大陆去作官。这一次江泽民也讲出来，作什么官呢？是国家的副领导人。国家的副领导人可以给台湾人作，为什么联合国大使不给台湾人作？当然可以作。那么台湾人发现谈判成功了，我们进了联合国，并且作了安全理事会的会员国之一，而且作了联合国大使，台湾人不是会很高兴吗？何必这么痛苦，整天吵着要进联合国，结果被人家赶出来。这些都是可以谈的，然后反过来，说服台湾人，（告诉他们这是）对你有利的，为什么不谈呢？我认为，最大的利益就是，未来的十年你可以省下来军费五兆，五万亿的台币可以省下来，平均每个台湾人每年可以省下两万台币。换句话说，这个军费不开支的化，每个人可以分到两万快钱。讲给他们听，不打仗，对台湾是多么的好。两岸和平以后，对台湾多么好。否则，钱都给了美国的军火商，台湾还未必能保护得了。他们很混蛋，说要搞美国的TMD，TMD多少钱？TMD是五千亿台币呀，并且十年以后才能发生效果。有什么效果呢？共产党的飞弹打来，你根本挡不住的。台湾岛这么窄，没有纵伸，没有预警的空间，一点用都没有。白花钱给美国军火商。要把这个道理讲出来。目前台湾的情况是，你根本不能谈。宋楚瑜跟美国《华盛顿邮报》谈了一句，TMD我们不要参加，立刻被骂。啊，你不爱台湾，你出卖台湾，你倾向中共。罪名就来了，帽子就戴过来了，混蛋嘛。现在台湾就是这批混蛋，跟他们敢骂来骂去的就是我，别人都不敢。哈，哈……
